Member_number,Date,itemDescription,_basket_id
1984,06-07-2024,pastry,3242
1235,15-02-2025,white bread,3030
1223,17-12-2025,shopping bags,2943
2079,08-11-2025,frankfurter,2945
2028,22-06-2025,citrus fruit,2345
2128,23-07-2024,newspapers,2726
1916,28-02-2024,sausage,2905
1322,27-07-2024,parmesan,5120
1004,04-06-2024,  HAMBURGER MEAT,2014
1676,08-06-2025,canned beer,3289
2069,20-03-2025,tomato sauce,1092
1937,08-03-2025,beef,2057
1010,09-06-2024,canned beer,2884
1336,20-03-2025,parmesan,5125
1779,11-08-2025,paper towels,4443
2106,26-11-2024,hamburger meat,4066
1741,04-03-2024,whole milk,1117
2020,15-09-2025,red wine,3844
2106,26-11-2024,chocolate,4066
1363,06-06-2024,onions,3725
1869,24-01-2024,margarine,5130
2107,06-02-2024,white bread,1679
1702,16-08-2025,margarine,3103
1190,19-03-2025,citrus fruit,2626
2129,19-05-2025,napkins,2268
1992,07-01-2024,whole milk,1074
2139,15-11-2024,bottled water,5383
1282,06-08-2024,red wine,88
1368,30-01-2024,canned beer,69
1027,11-03-2025,shopping bags,331
1123,04-09-2024,cereal,2183
1165,31-05-2024,domestic eggs,3316
1725,05-02-2024,yogurt,1228
1195,21-05-2024,rolls/buns,4118
1587,23-12-2024,white bread,1448
1914,11-01-2024,white bread,5275
1474,18-07-2025,shopping bags,1782
2180,01-07-2025,cereal,4867
1905,07-11-2025,frankfurter,2411
2182,17-12-2024,sausage,4676
2114,24-02-2025,margarine,2397
1804,15-06-2025,sugar,5311
1370,01-06-2025,bananas,1087
1431,01-08-2025,whole milk,830
2001,30-07-2025,onions,1229
1982,17-01-2025,whole milk,2707
1280,03-03-2024,bottled water,571
1251,17-11-2024,frozen vegetables,779
1111,24-01-2024,tomato sauce,4496
1292,20-09-2024,citrus fruit,5918
1330,19-11-2025,citrus fruit,2216
1383,04-03-2025,yogurt,509
2017,01-09-2025,cereal,4004
1956,17-07-2024,margarine,3293
1870,15-02-2024,dish detergent,3226
1084,05-02-2024,newspapers,4019
2120,10-11-2025,yogurt,1714
1526,09-03-2024,creamer,5020
1403,31-01-2025,margarine,4997
1767,21-03-2025,frozen vegetables,3791
1389,30-06-2025,soda,738
2105,06-07-2024,bottled water,4228
1978,01-01-2024,tomato sauce,2867
1458,14-07-2025,chocolate,5317
1691,12-06-2024,tropical fruit,1060
1956,17-07-2024,canned beer,3293
1352,31-01-2024,newspapers,4707
1234,25-06-2024,rolls/buns,1812
1013,06-07-2025,red wine,5363
1686,26-12-2025,ice cream,1522
1908,10-12-2024,margarine,882
1118,18-02-2024,coffee,5336
1599,16-02-2025,tortillas,2656
2120,11-02-2024,newspapers,3041
1833,12-05-2024,butter,4014
1808,12-04-2025,cheese,390
2106,30-01-2024,chocolate,5107
2033,03-08-2025,bottled water,3409
1276,17-04-2025,citrus fruit,30
1911,09-12-2025,frankfurter,5560
1181,21-01-2024,newspapers,4685
1389,01-09-2025,rolls/buns,5253
1240,31-03-2025,soda,2075
1156,21-05-2025,canned beer,1619
1859,18-02-2024,margarine,4725
1279,11-08-2024,ice cream,3930
1210,31-08-2025,ground beef,2372
1901,30-09-2025,sausage,3407
1848,25-10-2024,onions,1484
1580,28-06-2024,canned beer,279
1851,25-01-2025,frozen vegetables,5273
1777,03-08-2025,margarine,1735
1273,28-11-2025,cat food,241
2051,01-07-2025,white bread,617
1336,24-11-2025,bottled water,2154
1327,08-05-2025,cheese,3153
1705,13-01-2024,canned beer,1804
1247,26-11-2024,canned beer,3519
1074,19-10-2024,tortillas,679
1069,16-11-2024,frozen vegetables,4394
1895,26-11-2024,newspapers,5446
2111,16-09-2025,ketchup,5538
2120,10-09-2025,canned beer,5220
1010,29-10-2025,paper towels,4796
1814,13-01-2024,root vegetables,4918
2191,24-09-2024,pastry,1889
1531,04-06-2025,tomato sauce,2904
1862,08-07-2024,onions,703
1565,18-10-2024,salsa,1532
1220,05-11-2025,parmesan,5260
1417,28-11-2024,pasta,4518
2139,27-08-2025,yogurt,5248
1373,02-11-2024,salsa,3766
1821,23-02-2025,domestic eggs,3688
1117,16-11-2024,newspapers,4402
1354,30-10-2024,jam,5859
1675,05-01-2025,bottled water,1176
2049,05-07-2025,margarine,2315
2042,31-10-2025,coffee,5473
1598,28-07-2025,salty snack,2554
1023,10-12-2025,rolls/buns,5445
1079,13-10-2024,root vegetables,5422
1237,03-08-2024,crackers,498
1038,10-11-2025,frankfurter,5396
1951,21-07-2024,jam,5135
1612,05-06-2024,newspapers,100
1674,20-10-2024,canned beer,258
1006,16-03-2025,frankfurter,2194
1733,17-11-2025,root vegetables,3697
1636,28-06-2024,bottled water,4374
2191,15-06-2025,margarine,3429
1798,08-02-2024,citrus fruit,4816
1049,04-08-2024,bottled water,1526
1837,20-12-2024,frozen vegetables,1922
1915,09-10-2024,brown bread,924
1651,04-12-2024,frozen vegetables,3163
1704,22-03-2024,newspapers,1406
2137,14-03-2024,pastry,3362
1604,23-10-2024,margarine,5997
1890,13-08-2025,frozen vegetables,3517
1843,05-06-2024,white bread,3250
1488,10-08-2025,cheese,3098
1618,20-08-2025,cereal,4357
2190,16-08-2024,salsa,2954
1951,31-01-2025,ice cream,1652
1896,25-01-2024,tortillas,33
1311,29-12-2024,newspapers,839
2059,21-04-2024,ketchup,389
1465,23-09-2024,frankfurter,995
2110,02-12-2024,cat food,5252
1233,28-09-2024,pastry,3869
2063,04-02-2024,whole milk,4493
1845,11-10-2025,citrus fruit,3466
1515,06-06-2024,soda,2353
1034,28-01-2025,canned beer,5237
1260,08-03-2025,canned beer,1254
1765,28-02-2025,  CHOCOLATE,1015
1660,05-04-2024,tropical fruit,2989
1297,25-08-2025,salty snack,5531
1583,13-06-2024,canned beer,4998
1195,21-05-2024,napkins,4118
2072,11-04-2024,curd,1975
1740,22-07-2024,canned beer,706
1822,08-04-2025,rolls/buns,3911
1739,26-09-2024,canned beer,1291
1373,21-04-2024,soda,2951
2166,06-01-2025,frozen vegetables,2772
2009,30-09-2024,frankfurter,4629
1707,19-09-2025,newspapers,4470
2192,07-08-2024,margarine,2551
1143,04-07-2025,whole milk,121
1707,21-06-2025,canned beer,2755
1058,01-06-2024,white bread,2643
2063,04-02-2024,cereal,4493
1731,31-05-2024,canned beer,824
2180,03-08-2025,,2668
1631,13-01-2025,salsa,3893
1029,28-11-2025,whole milk,180
1140,23-07-2024,root vegetables,3367
1356,03-02-2025,ice cream,1828
1997,17-02-2025,newspapers,2226
1738,21-04-2024,bottled water,1543
1253,07-07-2024,beef,3431
1761,02-09-2024,citrus fruit,1364
1052,12-11-2025,cheese,387
1549,03-12-2025,chips,1240
1433,08-05-2025,bottled water,2200
1516,22-12-2024,tortillas,2506
1476,10-03-2025,canned beer,1980
1158,26-07-2024,margarine,3198
1946,08-08-2024,napkins,5261
2016,10-03-2024,chocolate,618
1448,12-02-2024,beef,940
2101,30-08-2025,cereal,1750
1109,24-05-2024,canned beer,2126
1846,04-12-2025,margarine,3116
2144,28-09-2024,canned beer,2210
1839,28-08-2024,pastry,3060
1460,23-09-2024,white bread,4192
1828,09-12-2024,napkins,2295
1077,20-08-2025,butter,3191
2155,05-04-2025,newspapers,2631
1950,17-03-2024,chocolate,2275
1712,22-03-2025,salsa,3192
1159,05-12-2024,domestic eggs,3863
1705,25-10-2024,margarine,3123
1293,05-04-2025,curd,251
1301,26-11-2025,root vegetables,1541
1193,03-12-2025,tropical fruit,807
1059,03-05-2024,root vegetables,880
2072,23-11-2025,margarine,3337
1365,19-04-2024,  MARGARINE,3690
1775,26-11-2025,ketchup,5665
1357,11-11-2024,chips,949
1526,15-11-2025,creamer,3036
1070,20-10-2024,citrus fruit,434
1834,18-02-2025,root vegetables,2559
1910,16-05-2024,bottled water,4507
1392,13-10-2024,bottled water,3888
1587,21-06-2024,salsa,2889
1063,14-10-2025,frankfurter,4413
1550,15-10-2025,domestic eggs,1709
1118,06-11-2024,bananas,2637
1457,27-04-2025,canned beer,28
1806,12-02-2025,canned beer,794
1969,20-07-2024,domestic eggs,1320
2111,30-09-2025,margarine,3974
1320,14-12-2024,,60
1936,28-03-2025,chocolate,3736
1645,15-12-2024,bananas,5667
1997,06-01-2025,ice cream,5704
1851,19-12-2024,pip fruit,4826
1858,07-03-2025,newspapers,2767
1006,09-07-2024,newspapers,4141
2120,10-11-2025,whole milk,1714
1270,06-04-2024,granola,1868
1678,23-03-2025,canned beer,5858
1936,09-11-2025,margarine,2422
1596,15-06-2025,domestic eggs,4783
1448,12-04-2025,newspapers,5743
2047,14-02-2024,canned beer,3465
1570,21-03-2024,root vegetables,3450
1249,07-08-2024,root vegetables,266
2146,07-12-2025,onions,3650
1381,01-04-2024,root vegetables,5346
1299,08-09-2025,  NAPKINS,3489
1917,25-04-2025,napkins,3809
1678,05-02-2025,pip fruit,3744
1943,07-08-2024,salsa,297
1185,25-06-2024,salty snack,2997
1596,27-07-2025,sugar,3440
1395,26-09-2025,bananas,672
1273,08-12-2024,newspapers,2193
2166,21-01-2025,yogurt,1353
1236,16-03-2025,chips,1257
1729,15-10-2025,canned beer,5828
2105,05-01-2024,pip fruit,3188
1827,22-08-2024,root vegetables,5569
1935,19-05-2025,frozen vegetables,585
1473,07-11-2025,newspapers,3487
1906,07-10-2025,citrus fruit,2724
1375,12-01-2024,white bread,4315
2017,01-09-2025,tropical fruit,4004
1996,03-07-2024,newspapers,4363
1146,06-12-2024,beef,116
1695,09-11-2025,root vegetables,2538
1633,01-07-2024,white bread,2909
1346,30-10-2025,brown bread,666
1633,01-07-2024,frankfurter,2909
1330,27-10-2025,tropical fruit,1352
1243,04-06-2025,red wine,4420
1014,06-04-2024,creamer,3102
2168,11-03-2024,salsa,185
1954,03-10-2024,granola,77
2149,10-03-2024,domestic eggs,1148
1337,28-06-2025,salsa,2985
1299,05-08-2024,newspapers,2162
1868,22-08-2024,root vegetables,326
1399,15-07-2024,yogurt,5266
1198,31-08-2024,whole milk,688
1057,24-07-2024,yogurt,2365
2010,22-12-2024,domestic eggs,1636
1887,18-12-2025,whole milk,3946
1356,25-04-2025,frankfurter,5040
1685,31-10-2025,white bread,5536
1213,25-02-2024,canned beer,3027
1220,04-10-2025,chocolate,1446
1816,16-10-2024,whole milk,885
2059,06-07-2024,canned beer,1690
1190,23-04-2024,frankfurter,1883
2193,08-11-2025,granola,911
1196,10-10-2024,newspapers,5514
1476,07-02-2025,cereal,615
1768,08-08-2024,whole milk,61
1207,25-09-2025,canned beer,177
1730,25-10-2025,cat food,1309
1835,09-03-2025,paper towels,3328
1540,05-07-2024,margarine,3375
2079,20-04-2024,frozen vegetables,734
1176,25-12-2025,root vegetables,2293
1365,16-02-2024,margarine,2717
1932,18-10-2025,citrus fruit,5086
1214,21-09-2025,margarine,4993
1299,07-02-2024,citrus fruit,2098
1024,08-10-2024,beef,3562
1962,03-07-2025,root vegetables,2600
1551,17-02-2024,diapers,3288
2036,24-05-2024,canned beer,1414
1692,15-11-2025,canned beer,423
1716,05-11-2024,curd,5314
2119,18-03-2025,margarine,2184
2175,26-07-2024,domestic eggs,5925
1043,23-01-2025,  COFFEE,5403
1198,31-08-2024,ground beef,688
1318,10-03-2024,chocolate,1616
2028,08-08-2025,root vegetables,3577
1803,05-06-2024,butter,5935
1893,07-10-2024,sausage,3792
1778,17-05-2025,  ICE CREAM,1433
1935,17-02-2025,sugar,1955
2073,15-06-2024,newspapers,982
1893,16-07-2024,pip fruit,231
1298,06-01-2024,root vegetables,1516
1085,27-11-2024,domestic eggs,3568
1901,19-01-2025,sausage,2316
2175,21-04-2025,root vegetables,4557
1920,16-08-2025,ice cream,566
1375,27-08-2025,salty snack,2217
1937,08-03-2025,butter,2057
1893,19-04-2025,root vegetables,2505
1245,25-02-2025,root vegetables,1911
1333,21-08-2024,canned beer,5449
2007,22-11-2025,coffee,3711
1939,07-06-2024,chocolate,4072
1905,31-10-2024,whole milk,3795
1229,03-04-2024,domestic eggs,5259
1256,28-10-2024,white bread,567
1225,03-08-2024,white bread,2949
1924,22-02-2025,whole milk,3576
1662,16-09-2025,salty snack,5316
1289,31-10-2024,whole milk,1650
2184,24-11-2025,napkins,3835
1077,02-04-2024,soda,832
2034,13-04-2025,red wine,2918
1826,25-01-2025,chips,754
1181,22-09-2024,frankfurter,3668
2151,17-11-2024,sausage,3484
1546,06-04-2025,root vegetables,2614
1073,17-09-2024,shopping bags,639
1055,22-11-2024,crackers,1524
1594,22-04-2024,pip fruit,1982
1215,07-08-2024,yogurt,5762
1891,04-03-2025,parmesan,3217
1333,29-02-2024,sausage,907
1803,08-01-2025,soda,4164
1861,24-01-2024,diapers,2899
1066,06-02-2025,whole milk,3903
1438,11-02-2025,  BUTTER,1337
1216,02-07-2024,paper towels,2642
1939,27-06-2024,salty snack,701
1411,17-10-2024,hamburger meat,3739
1150,19-12-2024,soda,2741
2091,17-12-2024,curd,5274
1329,16-10-2024,domestic eggs,5715
1318,12-12-2025,tropical fruit,2428
1434,10-03-2024,root vegetables,5499
1189,23-01-2025,margarine,741
1002,19-09-2024,newspapers,2463
1115,21-02-2024,ketchup,5611
1018,21-08-2025,root vegetables,3905
1500,29-04-2024,canned beer,337
1140,10-07-2024,paper towels,799
2144,28-09-2024,brown bread,2210
1342,08-10-2025,root vegetables,4992
1043,17-03-2024,newspapers,415
1473,07-11-2025,canned beer,3487
1530,31-03-2025,margarine,3843
2118,08-11-2025,parmesan,1892
1767,15-03-2025,beef,4245
1882,08-08-2025,pip fruit,5807
2179,27-05-2025,tropical fruit,1025
1957,25-11-2025,root vegetables,5309
1769,06-03-2025,pasta,3359
1168,15-02-2025,cat food,1682
1168,29-05-2025,rolls/buns,2109
2115,21-09-2025,canned beer,1119
1319,13-06-2025,cereal,500
1078,23-07-2024,newspapers,1770
1872,04-03-2024,curd,2947
1933,15-09-2025,margarine,5568
1494,06-08-2025,pip fruit,4905
1271,26-03-2024,soda,4831
1252,22-05-2025,root vegetables,1715
1826,25-01-2025,root vegetables,754
1856,05-07-2024,red wine,5951
1034,28-01-2025,yogurt,5237
1371,05-09-2024,newspapers,340
2068,24-08-2025,citrus fruit,5505
2058,30-10-2025,frankfurter,4125
1019,03-09-2025,salsa,2326
1401,15-11-2025,canned beer,1395
1264,07-12-2025,paper towels,4529
1454,29-07-2025,root vegetables,2562
1707,20-05-2024,pastry,3549
1973,17-09-2025,white bread,4619
1783,27-08-2024,butter,619
1921,29-04-2025,canned beer,2801
1156,21-05-2025,salty snack,1619
1597,19-10-2024,butter,2180
1353,26-11-2025,beef,1357
1071,06-10-2025,ice cream,380
1779,15-03-2025,red wine,1151
1281,12-04-2024,white bread,1614
2020,28-05-2025,citrus fruit,5712
1734,10-08-2025,whole milk,3097
1432,04-12-2024,tomato sauce,1969
1039,06-04-2024,white bread,4377
1681,04-09-2024,jam,3534
1314,22-05-2025,white bread,5354
1376,15-05-2025,frankfurter,2915
1273,02-11-2024,dish detergent,5421
2185,09-07-2025,rolls/buns,1114
2164,05-06-2024,newspapers,2343
1594,22-04-2024,newspapers,1982
1487,28-03-2024,cereal,960
1651,15-12-2024,  BROWN BREAD,4088
1171,05-02-2025,frozen vegetables,59
1600,27-09-2024,white bread,1676
2035,16-08-2024,yogurt,2982
1430,30-08-2025,canned beer,4404
1740,10-07-2025,bottled water,4182
1649,04-03-2024,soda,0
1249,07-08-2024,sausage,266
1186,01-01-2024,pip fruit,5628
1613,14-06-2025,parmesan,557
1523,17-09-2024,sausage,647
1679,03-01-2025,canned beer,156
1478,29-10-2024,  CITRUS FRUIT,2530
1253,07-07-2024,citrus fruit,3431
2041,30-09-2024,  MARGARINE,5507
1230,06-10-2024,curd,2870
1138,22-08-2025,pastry,1921
1222,01-01-2025,frankfurter,2564
1494,06-08-2025,bottled water,4905
1177,05-03-2024,margarine,772
2033,14-01-2025,salsa,4239
1543,12-04-2025,dish detergent,3358
2149,10-01-2024,canned beer,286
1454,03-05-2024,pastry,3881
1165,31-05-2024,pip fruit,3316
2183,08-12-2024,whole milk,2975
1081,21-10-2024,whole milk,2675
2073,03-09-2025,whole milk,4174
2164,26-02-2024,bananas,3683
1842,28-04-2025,root vegetables,4923
1556,01-10-2024,creamer,4372
1643,01-07-2024,paper towels,4306
1751,20-02-2024,frankfurter,5930
1146,23-04-2024,chocolate,459
1787,29-12-2025,pasta,2321
1733,17-11-2025,canned beer,3697
2163,05-05-2025,salsa,5057
2013,13-03-2025,curd,3747
1339,07-01-2025,white bread,957
1233,14-02-2025,newspapers,5127
1114,10-02-2025,hamburger meat,3302
1071,27-01-2025,frankfurter,2585
1854,29-07-2024,root vegetables,5727
1819,21-02-2024,root vegetables,190
2037,24-04-2024,cereal,4440
1859,24-09-2025,butter,1061
1618,16-08-2025,salsa,1328
1236,05-03-2024,root vegetables,3251
1479,27-07-2024,canned beer,5873
1606,27-07-2025,brown bread,31
1427,26-09-2024,white bread,5622
1935,19-05-2025,citrus fruit,585
1707,15-12-2025,whole milk,837
1901,23-09-2025,canned beer,2960
2101,27-01-2024,root vegetables,1863
1723,17-06-2025,citrus fruit,5923
1708,19-03-2025,napkins,1518
1547,10-07-2025,newspapers,3594
1618,16-08-2025,newspapers,1328
2175,01-03-2025,beef,2721
2189,13-12-2025,soda,3902
1936,28-03-2025,frankfurter,3736
1777,25-02-2024,rolls/buns,2472
1048,13-09-2025,cereal,1167
1798,24-09-2024,tomato sauce,963
1400,11-08-2025,salsa,4664
1567,17-06-2025,shopping bags,108
1904,17-06-2025,bottled water,3732
2046,21-02-2025,napkins,5860
1659,01-03-2024,citrus fruit,3132
2041,27-09-2025,ground beef,5027
1405,29-10-2024,margarine,2604
1496,04-10-2025,butter,1805
1310,19-03-2024,jam,3522
2003,11-10-2025,canned beer,320
1654,24-08-2024,cat food,2157
1036,07-01-2025,onions,1651
1932,07-09-2025,butter,4514
1368,30-01-2024,domestic eggs,69
1279,08-10-2024,yogurt,728
1194,13-12-2024,white bread,5280
2182,09-02-2025,ground beef,5795
1987,22-08-2024,brown bread,5801
1151,27-11-2025,root vegetables,2557
1905,31-10-2024,chocolate,3795
2105,20-03-2025,tomato sauce,1121
1646,22-01-2024,bottled water,1494
1110,24-10-2024,onions,4062
1630,23-10-2025,whole milk,3622
2068,08-07-2024,newspapers,2405
1332,15-01-2024,cereal,3652
1263,02-03-2024,hamburger meat,4981
1862,12-06-2024,white bread,3877
1500,21-07-2025,white bread,2122
1240,27-09-2024,frozen vegetables,804
1587,27-10-2025,soda,5415
1274,23-02-2025,margarine,115
2137,29-04-2024,pip fruit,4064
1965,06-04-2025,canned beer,3176
1915,15-09-2025,sausage,2794
1561,16-06-2024,coffee,4824
2080,08-01-2025,bottled water,49
1577,24-06-2024,margarine,4716
2079,16-12-2024,brown bread,4717
1944,19-08-2025,curd,2575
1915,15-09-2025,,2794
1046,27-02-2024,cat food,1472
2008,26-03-2025,newspapers,3145
1235,03-03-2024,pasta,2583
1234,24-09-2024,salty snack,1315
2022,10-08-2025,canned beer,2666
1852,22-11-2025,margarine,3371
2118,08-11-2025,tomato sauce,1892
1586,23-11-2025,ice cream,3734
1773,19-11-2025,margarine,5779
1798,06-06-2024,shopping bags,4422
1693,23-10-2025,,1881
1885,07-10-2025,bottled water,5584
1858,10-05-2024,margarine,2175
2084,17-11-2024,brown bread,430
2065,11-08-2025,onions,3715
1617,27-08-2025,citrus fruit,1124
1920,27-01-2024,shopping bags,165
2102,21-08-2025,beef,4766
1250,16-03-2025,margarine,3485
1722,22-08-2025,domestic eggs,721
1147,02-09-2025,frozen vegetables,3704
1086,08-05-2024,canned beer,1113
1187,17-03-2024,frozen vegetables,3700
2133,28-10-2024,pastry,45
2181,02-01-2024,domestic eggs,631
2155,15-06-2025,frozen vegetables,1810
1241,27-07-2024,curd,3585
1868,27-05-2025,butter,3632
2192,02-07-2025,napkins,5088
2061,29-09-2024,salsa,19
1067,13-10-2024,margarine,5324
1816,05-12-2024,paper towels,1459
1994,25-09-2025,rolls/buns,164
1371,21-11-2024,soda,3656
1822,29-01-2024,chocolate,3267
1362,13-09-2025,cheese,3089
1860,17-01-2024,brown bread,2266
