invoice_id,invoice_date,customer_id,country,product_id,product_name,category,quantity,unit_price,line_total,archetype
INV100222,2024-01-19,C00312,Netherlands,P0166,Electronics Item 0166,Electronics Accessories,4,7.11,28.44,regular
INV100222,2024-01-19,C00312,Netherlands,P0247,Home Item 0247,Home & Kitchen,3,15.37,46.11,regular
INV100222,2024-01-19,C00312,Netherlands,P0221,Sports Item 0221,Sports,2,18.04,36.08,regular
INV100222,2024-01-19,C00312,Netherlands,P0027,Electronics Item 0027,Electronics Accessories,1,19.73,19.73,regular
INV100816,2024-01-19,C00419,United Kingdom,P0173,Apparel Item 0173,Apparel,4,19.11,76.44,at_risk
INV100816,2024-01-19,C00419,United Kingdom,P0259,Apparel Item 0259,Apparel,5,12.89,64.45,at_risk
INV100871,2024-01-19,C00408,Ireland,P0073,Garden Item 0073,Garden,3,8.64,25.92,champion
INV100871,2024-01-19,C00408,Ireland,P0201,Electronics Item 0201,Electronics Accessories,4,2.96,11.84,champion
INV100871,2024-01-19,C00408,Ireland,P0016,Beauty Item 0016,Beauty,5,16.32,81.6,champion
INV100871,2024-01-19,C00408,Ireland,P0287,Toys Item 0287,Toys,3,17.98,53.94,champion
INV100871,2024-01-19,C00408,Ireland,P0156,Beauty Item 0156,Beauty,4,6.52,26.08,champion
INV100871,2024-01-19,C00408,Ireland,P0253,Toys Item 0253,Toys,2,5.41,10.82,champion
INV100871,2024-01-19,C00408,Ireland,P0075,Home Item 0075,Home & Kitchen,2,4.7,9.4,champion
INV100871,2024-01-19,C00408,Ireland,P0184,Stationery Item 0184,Stationery,1,12.05,12.05,champion
INV100871,2024-01-19,C00408,Ireland,P0167,Sports Item 0167,Sports,4,9.45,37.8,champion
INV100871,2024-01-19,C00408,Ireland,P0182,Toys Item 0182,Toys,2,14.77,29.54,champion
INV100871,2024-01-19,C00408,Ireland,P0118,Apparel Item 0118,Apparel,5,9.67,48.35,champion
INV100871,2024-01-19,C00408,Ireland,P0059,Garden Item 0059,Garden,5,22.24,111.2,champion
INV100902,2024-01-19,C00050,Ireland,P0281,Beauty Item 0281,Beauty,5,2.14,10.7,regular
INV100902,2024-01-19,C00050,Ireland,P0287,Toys Item 0287,Toys,5,17.98,89.9,regular
INV100902,2024-01-19,C00050,Ireland,P0224,Toys Item 0224,Toys,5,6.73,33.65,regular
INV100902,2024-01-19,C00050,Ireland,P0067,Sports Item 0067,Sports,4,14.79,59.16,regular
INV100333,2024-01-20,C00329,France,P0087,Home Item 0087,Home & Kitchen,1,9.17,9.17,at_risk
INV100333,2024-01-20,C00329,France,P0068,Beauty Item 0068,Beauty,2,7.24,14.48,at_risk
INV100333,2024-01-20,C00329,France,P0195,Apparel Item 0195,Apparel,5,27.22,136.1,at_risk
INV100333,2024-01-20,C00329,France,P0263,Toys Item 0263,Toys,3,10.21,30.63,at_risk
INV100403,2024-01-20,C00172,Germany,P0256,Home Item 0256,Home & Kitchen,4,10.1,40.4,loyal
INV100403,2024-01-20,C00172,Germany,P0218,Electronics Item 0218,Electronics Accessories,5,6.37,31.85,loyal
INV100851,2024-01-20,C00083,Germany,P0131,Stationery Item 0131,Stationery,2,12.06,24.12,regular
INV100909,2024-01-20,C00481,United Kingdom,P0120,Sports Item 0120,Sports,3,12.93,38.79,loyal
INV100909,2024-01-20,C00481,United Kingdom,P0037,Toys Item 0037,Toys,5,10.9,54.5,loyal
INV100388,2024-01-21,C00301,United Kingdom,P0211,Garden Item 0211,Garden,5,10.09,50.45,at_risk
INV100401,2024-01-21,C00343,United Kingdom,P0021,Sports Item 0021,Sports,1,9.22,9.22,loyal
INV100401,2024-01-21,C00343,United Kingdom,P0154,Home Item 0154,Home & Kitchen,1,12.36,12.36,loyal
INV100401,2024-01-21,C00343,United Kingdom,P0149,Toys Item 0149,Toys,5,6.39,31.95,loyal
INV100401,2024-01-21,C00343,United Kingdom,P0235,Sports Item 0235,Sports,4,4.95,19.8,loyal
INV100401,2024-01-21,C00343,United Kingdom,P0079,Sports Item 0079,Sports,4,17.36,69.44,loyal
INV100857,2024-01-21,C00285,France,P0293,Toys Item 0293,Toys,2,13.85,27.7,regular
INV100857,2024-01-21,C00285,France,P0154,Home Item 0154,Home & Kitchen,3,12.36,37.08,regular
INV100857,2024-01-21,C00285,France,P0287,Toys Item 0287,Toys,4,17.98,71.92,regular
INV100857,2024-01-21,C00285,France,P0001,Sports Item 0001,Sports,2,20.7,41.4,regular
INV100857,2024-01-21,C00285,France,P0298,Stationery Item 0298,Stationery,1,2.24,2.24,regular
INV101149,2024-01-21,C00126,United Kingdom,P0248,Apparel Item 0248,Apparel,1,18.11,18.11,regular
INV101149,2024-01-21,C00126,United Kingdom,P0169,Apparel Item 0169,Apparel,5,6.65,33.25,regular
INV101149,2024-01-21,C00126,United Kingdom,P0052,Beauty Item 0052,Beauty,4,4.18,16.72,regular
INV100623,2024-01-22,C00103,France,P0146,Garden Item 0146,Garden,3,10.36,31.08,loyal
INV100623,2024-01-22,C00103,France,P0009,Sports Item 0009,Sports,1,10.35,10.35,loyal
INV101396,2024-01-22,C00056,United Kingdom,P0029,Sports Item 0029,Sports,2,15.87,31.74,loyal
INV101396,2024-01-22,C00056,United Kingdom,P0217,Electronics Item 0217,Electronics Accessories,2,2.06,4.12,loyal
INV100927,2024-01-23,C00420,France,P0074,Beauty Item 0074,Beauty,33,25.87,853.71,dormant
INV100927,2024-01-23,C00420,France,P0264,Home Item 0264,Home & Kitchen,32,15.09,482.88,dormant
INV100927,2024-01-23,C00420,France,P0130,Home Item 0130,Home & Kitchen,35,16.98,594.3,dormant
INV100927,2024-01-23,C00420,France,P0184,Stationery Item 0184,Stationery,17,10.85,184.45,dormant
INV100927,2024-01-23,C00420,France,P0070,Beauty Item 0070,Beauty,35,11.61,406.35,dormant
INV100927,2024-01-23,C00420,France,P0221,Sports Item 0221,Sports,22,16.24,357.28,dormant
INV100927,2024-01-23,C00420,France,P0239,Apparel Item 0239,Apparel,29,3.05,88.45,dormant
INV100927,2024-01-23,C00420,France,P0226,Sports Item 0226,Sports,36,5.46,196.56,dormant
INV100927,2024-01-23,C00420,France,P0234,Beauty Item 0234,Beauty,20,13.13,262.6,dormant
INV100927,2024-01-23,C00420,France,P0027,Electronics Item 0027,Electronics Accessories,20,17.76,355.2,dormant
INV100927,2024-01-23,C00420,France,P0039,Home Item 0039,Home & Kitchen,39,13.44,524.16,dormant
INV100927,2024-01-23,C00420,France,P0212,Sports Item 0212,Sports,24,24.79,594.96,dormant
INV100927,2024-01-23,C00420,France,P0256,Home Item 0256,Home & Kitchen,38,9.09,345.42,dormant
INV100927,2024-01-23,C00420,France,P0140,Apparel Item 0140,Apparel,23,13.55,311.65,dormant
INV100927,2024-01-23,C00420,France,P0056,Toys Item 0056,Toys,30,5.07,152.1,dormant
INV100927,2024-01-23,C00420,France,P0102,Toys Item 0102,Toys,27,12.95,349.65,dormant
INV100927,2024-01-23,C00420,France,P0258,Toys Item 0258,Toys,39,16.16,630.24,dormant
INV100927,2024-01-23,C00420,France,P0202,Toys Item 0202,Toys,28,3.43,96.04,dormant
INV100927,2024-01-23,C00420,France,P0149,Toys Item 0149,Toys,27,5.75,155.25,dormant
INV100927,2024-01-23,C00420,France,P0209,Garden Item 0209,Garden,26,18.17,472.42,dormant
INV100927,2024-01-23,C00420,France,P0255,Electronics Item 0255,Electronics Accessories,24,2.48,59.52,dormant
INV100927,2024-01-23,C00420,France,P0098,Beauty Item 0098,Beauty,26,9.71,252.46,dormant
INV100927,2024-01-23,C00420,France,P0060,Garden Item 0060,Garden,26,4.89,127.14,dormant
INV100927,2024-01-23,C00420,France,P0247,Home Item 0247,Home & Kitchen,34,13.83,470.22,dormant
INV100927,2024-01-23,C00420,France,P0132,Apparel Item 0132,Apparel,16,29.94,479.04,dormant
INV100927,2024-01-23,C00420,France,P0081,Garden Item 0081,Garden,27,24.16,652.32,dormant
INV100927,2024-01-23,C00420,France,P0043,Electronics Item 0043,Electronics Accessories,28,17.57,491.96,dormant
INV100927,2024-01-23,C00420,France,P0200,Garden Item 0200,Garden,33,8.36,275.88,dormant
INV100927,2024-01-23,C00420,France,P0017,Toys Item 0017,Toys,31,12.07,374.17,dormant
INV100927,2024-01-23,C00420,France,P0263,Toys Item 0263,Toys,25,9.19,229.75,dormant
INV100994,2024-01-23,C00252,United Kingdom,P0159,Home Item 0159,Home & Kitchen,5,7.2,36.0,loyal
INV100994,2024-01-23,C00252,United Kingdom,P0226,Sports Item 0226,Sports,1,6.07,6.07,loyal
INV100994,2024-01-23,C00252,United Kingdom,P0214,Beauty Item 0214,Beauty,1,5.84,5.84,loyal
INV100994,2024-01-23,C00252,United Kingdom,P0043,Electronics Item 0043,Electronics Accessories,5,19.52,97.6,loyal
INV100994,2024-01-23,C00252,United Kingdom,P0284,Apparel Item 0284,Apparel,2,22.03,44.06,loyal
INV100994,2024-01-23,C00252,United Kingdom,P0045,Electronics Item 0045,Electronics Accessories,4,3.96,15.84,loyal
INV100994,2024-01-23,C00252,United Kingdom,P0085,Stationery Item 0085,Stationery,2,4.34,8.68,loyal
INV100994,2024-01-23,C00252,United Kingdom,P0070,Beauty Item 0070,Beauty,2,12.9,25.8,loyal
INV101255,2024-01-23,C00274,Ireland,P0003,Beauty Item 0003,Beauty,3,11.37,34.11,at_risk
INV101083,2024-01-24,C00044,United Kingdom,P0230,Apparel Item 0230,Apparel,1,13.03,13.03,regular
INV101083,2024-01-24,C00044,United Kingdom,P0107,Home Item 0107,Home & Kitchen,3,7.79,23.37,regular
INV101083,2024-01-24,C00044,United Kingdom,P0175,Garden Item 0175,Garden,3,15.65,46.95,regular
INV101083,2024-01-24,C00044,United Kingdom,P0100,Electronics Item 0100,Electronics Accessories,2,5.18,10.36,regular
INV101083,2024-01-24,C00044,United Kingdom,P0150,Garden Item 0150,Garden,2,11.59,23.18,regular
INV101083,2024-01-24,C00044,United Kingdom,P0255,Electronics Item 0255,Electronics Accessories,5,2.75,13.75,regular
INV100084,2024-01-25,C00328,United Kingdom,P0248,Apparel Item 0248,Apparel,1,18.11,18.11,loyal
INV100162,2024-01-25,C00334,United Kingdom,P0231,Toys Item 0231,Toys,2,10.98,21.96,loyal
INV100162,2024-01-25,C00334,United Kingdom,P0177,Apparel Item 0177,Apparel,5,7.91,39.55,loyal
INV100162,2024-01-25,C00334,United Kingdom,P0081,Garden Item 0081,Garden,4,26.84,107.36,loyal
INV100162,2024-01-25,C00334,United Kingdom,P0153,Home Item 0153,Home & Kitchen,1,2.62,2.62,loyal
INV100162,2024-01-25,C00334,United Kingdom,P0040,Toys Item 0040,Toys,3,25.32,75.96,loyal
INV100162,2024-01-25,C00334,United Kingdom,P0140,Apparel Item 0140,Apparel,2,15.06,30.12,loyal
INV100533,2024-01-25,C00088,United Kingdom,P0235,Sports Item 0235,Sports,1,4.95,4.95,regular
INV100533,2024-01-25,C00088,United Kingdom,P0079,Sports Item 0079,Sports,5,17.36,86.8,regular
INV100533,2024-01-25,C00088,United Kingdom,P0168,Sports Item 0168,Sports,1,25.71,25.71,regular
INV100598,2024-01-26,C00416,United Kingdom,P0059,Garden Item 0059,Garden,4,22.24,88.96,regular
INV100598,2024-01-26,C00416,United Kingdom,P0233,Apparel Item 0233,Apparel,1,25.83,25.83,regular
INV100598,2024-01-26,C00416,United Kingdom,P0192,Garden Item 0192,Garden,4,17.1,68.4,regular
INV100930,2024-01-26,C00390,United Kingdom,P0069,Electronics Item 0069,Electronics Accessories,3,8.37,25.11,loyal
INV100930,2024-01-26,C00390,United Kingdom,P0018,Beauty Item 0018,Beauty,5,19.88,99.4,loyal
INV100930,2024-01-26,C00390,United Kingdom,P0242,Stationery Item 0242,Stationery,1,7.66,7.66,loyal
INV100930,2024-01-26,C00390,United Kingdom,P0286,Toys Item 0286,Toys,5,17.4,87.0,loyal
INV101168,2024-01-26,C00104,Spain,P0113,Garden Item 0113,Garden,1,5.12,5.12,loyal
INV100287,2024-01-27,C00214,Germany,P0143,Home Item 0143,Home & Kitchen,1,7.7,7.7,champion
INV100287,2024-01-27,C00214,Germany,P0226,Sports Item 0226,Sports,4,6.07,24.28,champion
INV100287,2024-01-27,C00214,Germany,P0030,Toys Item 0030,Toys,5,8.54,42.7,champion
INV100287,2024-01-27,C00214,Germany,P0234,Beauty Item 0234,Beauty,3,14.59,43.77,champion
INV100287,2024-01-27,C00214,Germany,P0296,Electronics Item 0296,Electronics Accessories,3,13.81,41.43,champion
INV100287,2024-01-27,C00214,Germany,P0214,Beauty Item 0214,Beauty,1,5.84,5.84,champion
INV100287,2024-01-27,C00214,Germany,P0200,Garden Item 0200,Garden,5,9.29,46.45,champion
INV100287,2024-01-27,C00214,Germany,P0271,Garden Item 0271,Garden,5,4.37,21.85,champion
INV100287,2024-01-27,C00214,Germany,P0129,Sports Item 0129,Sports,5,7.01,35.05,champion
INV100287,2024-01-27,C00214,Germany,P0266,Beauty Item 0266,Beauty,2,9.2,18.4,champion
INV100287,2024-01-27,C00214,Germany,P0108,Garden Item 0108,Garden,4,12.75,51.0,champion
INV100287,2024-01-27,C00214,Germany,P0116,Stationery Item 0116,Stationery,3,8.27,24.81,champion
INV100287,2024-01-27,C00214,Germany,P0182,Toys Item 0182,Toys,2,14.77,29.54,champion
INV100287,2024-01-27,C00214,Germany,P0144,Apparel Item 0144,Apparel,2,13.41,26.82,champion
INV100457,2024-01-27,C00286,Spain,P0194,Garden Item 0194,Garden,1,48.13,48.13,regular
INV100457,2024-01-27,C00286,Spain,P0062,Stationery Item 0062,Stationery,1,32.4,32.4,regular
INV100536,2024-01-28,C00220,Ireland,P0017,Toys Item 0017,Toys,5,13.41,67.05,loyal
INV100536,2024-01-28,C00220,Ireland,P0163,Sports Item 0163,Sports,1,16.1,16.1,loyal
INV100536,2024-01-28,C00220,Ireland,P0225,Beauty Item 0225,Beauty,3,4.63,13.89,loyal
INV100536,2024-01-28,C00220,Ireland,P0250,Stationery Item 0250,Stationery,4,11.75,47.0,loyal
INV100445,2024-01-29,C00116,United Kingdom,P0270,Electronics Item 0270,Electronics Accessories,3,13.76,41.28,regular
INV100445,2024-01-29,C00116,United Kingdom,P0058,Garden Item 0058,Garden,4,7.47,29.88,regular
INV100445,2024-01-29,C00116,United Kingdom,P0259,Apparel Item 0259,Apparel,4,12.89,51.56,regular
INV100707,2024-01-29,C00101,Netherlands,P0053,Garden Item 0053,Garden,3,9.88,29.64,regular
INV101092,2024-01-29,C00405,Spain,P0201,Electronics Item 0201,Electronics Accessories,4,2.96,11.84,loyal
INV101273,2024-01-29,C00468,United Kingdom,P0190,Stationery Item 0190,Stationery,5,5.75,28.75,loyal
INV101273,2024-01-29,C00468,United Kingdom,P0087,Home Item 0087,Home & Kitchen,3,9.17,27.51,loyal
INV101273,2024-01-29,C00468,United Kingdom,P0114,Home Item 0114,Home & Kitchen,1,15.7,15.7,loyal
INV101273,2024-01-29,C00468,United Kingdom,P0186,Sports Item 0186,Sports,4,11.3,45.2,loyal
INV101273,2024-01-29,C00468,United Kingdom,P0100,Electronics Item 0100,Electronics Accessories,2,5.18,10.36,loyal
INV101273,2024-01-29,C00468,United Kingdom,P0146,Garden Item 0146,Garden,4,10.36,41.44,loyal
INV101273,2024-01-29,C00468,United Kingdom,P0189,Garden Item 0189,Garden,3,9.4,28.2,loyal
INV100941,2024-01-30,C00052,Spain,P0267,Electronics Item 0267,Electronics Accessories,1,11.36,11.36,champion
INV100941,2024-01-30,C00052,Spain,P0154,Home Item 0154,Home & Kitchen,2,12.36,24.72,champion
INV100941,2024-01-30,C00052,Spain,P0106,Garden Item 0106,Garden,3,9.58,28.74,champion
INV100941,2024-01-30,C00052,Spain,P0180,Stationery Item 0180,Stationery,3,9.07,27.21,champion
INV100941,2024-01-30,C00052,Spain,P0186,Sports Item 0186,Sports,4,11.3,45.2,champion
INV100941,2024-01-30,C00052,Spain,P0040,Toys Item 0040,Toys,4,25.32,101.28,champion
INV100941,2024-01-30,C00052,Spain,P0194,Garden Item 0194,Garden,4,48.13,192.52,champion
INV101089,2024-01-30,C00327,Spain,P0292,Beauty Item 0292,Beauty,2,5.92,11.84,champion
INV101089,2024-01-30,C00327,Spain,P0231,Toys Item 0231,Toys,3,10.98,32.94,champion
INV101089,2024-01-30,C00327,Spain,P0187,Garden Item 0187,Garden,4,6.33,25.32,champion
INV101089,2024-01-30,C00327,Spain,P0004,Garden Item 0004,Garden,4,18.82,75.28,champion
INV101089,2024-01-30,C00327,Spain,P0061,Stationery Item 0061,Stationery,3,8.19,24.57,champion
INV101089,2024-01-30,C00327,Spain,P0115,Home Item 0115,Home & Kitchen,4,20.54,82.16,champion
INV101089,2024-01-30,C00327,Spain,P0040,Toys Item 0040,Toys,5,25.32,126.6,champion
INV101089,2024-01-30,C00327,Spain,P0077,Home Item 0077,Home & Kitchen,5,8.82,44.1,champion
INV101183,2024-01-30,C00162,Netherlands,P0292,Beauty Item 0292,Beauty,2,5.92,11.84,loyal
INV101183,2024-01-30,C00162,Netherlands,P0177,Apparel Item 0177,Apparel,5,7.91,39.55,loyal
INV101183,2024-01-30,C00162,Netherlands,P0176,Toys Item 0176,Toys,3,20.55,61.65,loyal
INV101183,2024-01-30,C00162,Netherlands,P0200,Garden Item 0200,Garden,1,9.29,9.29,loyal
INV101183,2024-01-30,C00162,Netherlands,P0158,Garden Item 0158,Garden,4,8.27,33.08,loyal
INV101183,2024-01-30,C00162,Netherlands,P0254,Garden Item 0254,Garden,2,47.1,94.2,loyal
INV101183,2024-01-30,C00162,Netherlands,P0127,Toys Item 0127,Toys,3,32.0,96.0,loyal
INV101183,2024-01-30,C00162,Netherlands,P0003,Beauty Item 0003,Beauty,5,11.37,56.85,loyal
INV100620,2024-01-31,C00389,Ireland,P0235,Sports Item 0235,Sports,3,4.95,14.85,at_risk
INV100620,2024-01-31,C00389,Ireland,P0079,Sports Item 0079,Sports,2,17.36,34.72,at_risk
INV101231,2024-01-31,C00015,Germany,P0109,Apparel Item 0109,Apparel,4,11.92,47.68,at_risk
INV101231,2024-01-31,C00015,Germany,P0029,Sports Item 0029,Sports,4,15.87,63.48,at_risk
INV100196,2024-02-01,C00365,United Kingdom,P0139,Stationery Item 0139,Stationery,2,2.18,4.36,champion
INV100196,2024-02-01,C00365,United Kingdom,P0065,Stationery Item 0065,Stationery,5,38.71,193.55,champion
INV100799,2024-02-01,C00213,Netherlands,P0203,Sports Item 0203,Sports,4,20.16,80.64,loyal
INV100799,2024-02-01,C00213,Netherlands,P0202,Toys Item 0202,Toys,4,3.81,15.24,loyal
INV100799,2024-02-01,C00213,Netherlands,P0196,Stationery Item 0196,Stationery,5,11.07,55.35,loyal
INV100799,2024-02-01,C00213,Netherlands,P0164,Home Item 0164,Home & Kitchen,2,19.4,38.8,loyal
INV100644,2024-02-02,C00373,United Kingdom,P0227,Garden Item 0227,Garden,3,14.32,42.96,regular
INV100644,2024-02-02,C00373,United Kingdom,P0107,Home Item 0107,Home & Kitchen,3,7.79,23.37,regular
INV100644,2024-02-02,C00373,United Kingdom,P0240,Garden Item 0240,Garden,4,7.99,31.96,regular
INV100751,2024-02-03,C00049,United Kingdom,P0021,Sports Item 0021,Sports,5,9.22,46.1,loyal
INV100751,2024-02-03,C00049,United Kingdom,P0270,Electronics Item 0270,Electronics Accessories,1,13.76,13.76,loyal
INV100751,2024-02-03,C00049,United Kingdom,P0222,Beauty Item 0222,Beauty,1,16.46,16.46,loyal
INV100751,2024-02-03,C00049,United Kingdom,P0046,Toys Item 0046,Toys,5,13.41,67.05,loyal
INV101053,2024-02-05,C00078,Ireland,P0280,Beauty Item 0280,Beauty,5,6.37,31.85,loyal
INV101053,2024-02-05,C00078,Ireland,P0138,Stationery Item 0138,Stationery,4,23.38,93.52,loyal
INV101053,2024-02-05,C00078,Ireland,P0219,Stationery Item 0219,Stationery,5,10.17,50.85,loyal
INV101053,2024-02-05,C00078,Ireland,P0099,Toys Item 0099,Toys,4,3.9,15.6,loyal
INV101053,2024-02-05,C00078,Ireland,P0216,Stationery Item 0216,Stationery,5,7.88,39.4,loyal
INV101054,2024-02-06,C00410,United Kingdom,P0179,Toys Item 0179,Toys,1,14.27,14.27,loyal
INV101054,2024-02-06,C00410,United Kingdom,P0271,Garden Item 0271,Garden,2,4.37,8.74,loyal
INV101054,2024-02-06,C00410,United Kingdom,P0119,Stationery Item 0119,Stationery,5,27.78,138.9,loyal
INV101054,2024-02-06,C00410,United Kingdom,P0100,Electronics Item 0100,Electronics Accessories,5,5.18,25.9,loyal
INV101054,2024-02-06,C00410,United Kingdom,P0079,Sports Item 0079,Sports,2,17.36,34.72,loyal
INV100228,2024-02-08,C00196,United Kingdom,P0166,Electronics Item 0166,Electronics Accessories,4,7.11,28.44,loyal
INV100228,2024-02-08,C00196,United Kingdom,P0203,Sports Item 0203,Sports,1,20.16,20.16,loyal
INV100228,2024-02-08,C00196,United Kingdom,P0077,Home Item 0077,Home & Kitchen,1,8.82,8.82,loyal
INV100228,2024-02-08,C00196,United Kingdom,P0153,Home Item 0153,Home & Kitchen,3,2.62,7.86,loyal
INV100725,2024-02-08,C00231,Ireland,P0022,Garden Item 0022,Garden,4,9.52,38.08,regular
INV100725,2024-02-08,C00231,Ireland,P0183,Beauty Item 0183,Beauty,4,14.45,57.8,regular
INV100151,2024-02-09,C00037,United Kingdom,P0021,Sports Item 0021,Sports,5,9.22,46.1,champion
INV100151,2024-02-09,C00037,United Kingdom,P0030,Toys Item 0030,Toys,4,8.54,34.16,champion
INV100151,2024-02-09,C00037,United Kingdom,P0264,Home Item 0264,Home & Kitchen,2,16.77,33.54,champion
INV100151,2024-02-09,C00037,United Kingdom,P0061,Stationery Item 0061,Stationery,1,8.19,8.19,champion
INV100151,2024-02-09,C00037,United Kingdom,P0145,Electronics Item 0145,Electronics Accessories,4,13.74,54.96,champion
INV100151,2024-02-09,C00037,United Kingdom,P0202,Toys Item 0202,Toys,1,3.81,3.81,champion
INV100151,2024-02-09,C00037,United Kingdom,P0241,Sports Item 0241,Sports,3,13.49,40.47,champion
INV100526,2024-02-09,C00242,United Kingdom,P0268,Beauty Item 0268,Beauty,5,10.88,54.4,loyal
INV100526,2024-02-09,C00242,United Kingdom,P0002,Garden Item 0002,Garden,4,12.52,50.08,loyal
INV101004,2024-02-09,C00100,Ireland,P0152,Toys Item 0152,Toys,2,42.54,85.08,loyal
INV101319,2024-02-09,C00199,United Kingdom,P0260,Garden Item 0260,Garden,3,17.06,51.18,champion
INV101319,2024-02-09,C00199,United Kingdom,P0190,Stationery Item 0190,Stationery,1,5.75,5.75,champion
INV101319,2024-02-09,C00199,United Kingdom,P0071,Beauty Item 0071,Beauty,3,12.79,38.37,champion
INV101319,2024-02-09,C00199,United Kingdom,P0199,Sports Item 0199,Sports,1,14.62,14.62,champion
INV101319,2024-02-09,C00199,United Kingdom,P0113,Garden Item 0113,Garden,2,5.12,10.24,champion
INV101319,2024-02-09,C00199,United Kingdom,P0193,Apparel Item 0193,Apparel,1,22.21,22.21,champion
INV101319,2024-02-09,C00199,United Kingdom,P0141,Sports Item 0141,Sports,4,16.81,67.24,champion
