invoice_id,customer_id,invoice_date,n_lines,total_quantity,invoice_value,avg_unit_qty,anomaly_score,is_anomaly
INV100032,C00390,2024-07-04,4,11,164.63,2.75,-0.3883377675919049,False
INV100033,C00214,2024-04-13,2,7,132.23,3.5,-0.4064071812981748,False
INV100034,C00373,2024-10-22,1,1,9.2,1.0,-0.4963102474131637,False
INV100035,C00432,2024-04-30,7,17,180.88,2.4285714285714284,-0.44771514838901255,False
INV100036,C00150,2024-05-16,4,8,97.07,2.0,-0.42071308183048106,False
INV100037,C00022,2024-06-18,1,2,27.62,2.0,-0.4349191803737152,False
INV100038,C00495,2024-03-14,6,18,308.07,3.0,-0.43619700217740376,False
INV100039,C00050,2024-11-07,1,4,18.52,4.0,-0.45324397834944485,False
INV100040,C00046,2024-05-15,9,23,313.25,2.5555555555555554,-0.45035961643148714,False
INV100041,C00295,2024-07-13,9,29,291.36,3.2222222222222223,-0.45884525773465074,False
INV100042,C00439,2024-01-08,1,2,25.9,2.0,-0.4354133399524551,False
INV100043,C00471,2024-11-29,5,20,230.38,4.0,-0.4445569451574155,False
INV100044,C00104,2024-10-13,4,16,87.62,4.0,-0.44112475294439857,False
INV100045,C00056,2024-05-20,2,5,82.16,2.5,-0.41035901452070517,False
INV100046,C00184,2024-08-02,6,15,185.69,2.5,-0.43411756757397196,False
INV100047,C00123,2024-06-07,4,13,114.76,3.25,-0.3918627665288558,False
INV100048,C00129,2024-07-22,9,32,443.01,3.5555555555555554,-0.48912395924977986,False
INV100049,C00016,2024-01-15,2,8,153.22,4.0,-0.4154392864957555,False
INV100050,C00451,2024-10-02,1,5,65.15,5.0,-0.47236449370277067,False
INV100051,C00474,2024-06-22,1,1,10.02,1.0,-0.4928928851983951,False
INV100052,C00317,2024-03-14,4,17,183.63,4.25,-0.4525868907333653,False
INV100053,C00113,2024-09-17,2,8,102.06,4.0,-0.4073987979403995,False
INV100054,C00325,2024-08-30,4,14,185.94,3.5,-0.39492338195301246,False
INV100055,C00431,2024-10-13,9,25,375.33,2.7777777777777777,-0.4470261181891552,False
INV100056,C00199,2024-03-09,12,43,586.4,3.5833333333333335,-0.5720843521045041,False
INV100057,C00271,2024-11-11,5,17,357.81,3.4,-0.44614861626595537,False
INV100058,C00254,2024-09-11,4,11,132.77,2.75,-0.3867773875205476,False
INV100059,C00001,2024-03-22,4,11,222.18,2.75,-0.40624263050184384,False
INV100060,C00179,2024-05-13,1,5,51.55,5.0,-0.4754403003280551,False
INV100061,C00373,2024-03-03,6,19,233.42,3.1666666666666665,-0.4213499890753059,False
INV100062,C00447,2024-12-09,5,16,190.14,3.2,-0.40368152218786996,False
INV100063,C00272,2024-02-10,10,23,244.45,2.3,-0.495331375493408,False
INV100064,C00281,2024-11-12,2,10,86.55,5.0,-0.4858784363185378,False
INV100065,C00381,2024-10-17,2,6,72.34,3.0,-0.3912001231192748,False
INV100066,C00333,2024-06-03,4,9,138.26,2.25,-0.40190859802120876,False
INV100067,C00189,2024-08-31,9,28,580.0400000000001,3.111111111111111,-0.49806108785348596,False
INV100068,C00055,2024-04-04,1,1,10.9,1.0,-0.49144975205305336,False
INV100069,C00045,2024-06-21,1,5,107.1,5.0,-0.49639955584683004,False
INV100070,C00050,2024-03-12,4,11,246.03,2.75,-0.41642050139169134,False
INV100071,C00190,2024-05-24,4,14,161.44,3.5,-0.3935349650216965,False
INV100072,C00020,2024-09-21,13,43,598.22,3.3076923076923075,-0.5648985227447936,False
INV100073,C00074,2024-09-04,2,6,68.39,3.0,-0.3899432712853008,False
INV100074,C00481,2024-03-30,4,15,310.34,3.75,-0.4363222784866241,False
INV100075,C00415,2024-04-26,2,5,94.84,2.5,-0.41353318627192825,False
INV100076,C00028,2024-10-06,6,13,191.35,2.1666666666666665,-0.4585179996306408,False
INV100077,C00396,2024-03-24,43,1103,13004.75,25.651162790697676,-0.8550205870286803,True
INV100078,C00111,2024-11-26,2,9,234.8,4.5,-0.4837779692282844,False
INV100079,C00444,2024-09-05,1,1,17.36,1.0,-0.49407062749892117,False
INV100080,C00197,2024-07-02,4,12,132.01,3.0,-0.38073285721409633,False
INV100081,C00326,2024-04-20,2,2,12.870000000000001,1.0,-0.507803659206961,False
INV100082,C00096,2024-06-16,2,7,63.489999999999995,3.5,-0.4015433106321842,False
INV100083,C00429,2024-05-23,1,2,40.44,2.0,-0.4388268510678914,False
INV100084,C00328,2024-01-25,1,1,18.11,1.0,-0.4953597372755553,False
INV100085,C00176,2024-12-01,2,6,88.99000000000001,3.0,-0.3937564865277505,False
INV100086,C00367,2024-08-03,1,5,35.1,5.0,-0.48205320305903365,False
INV100087,C00345,2024-03-08,1,3,45.15,3.0,-0.4190083531050753,False
INV100088,C00470,2024-11-08,7,15,149.75,2.142857142857143,-0.467744326313964,False
INV100089,C00468,2024-09-27,2,6,107.77000000000001,3.0,-0.39946323834803393,False
INV100090,C00173,2024-05-07,2,3,11.64,1.5,-0.47877916878946813,False
INV100091,C00134,2024-06-05,9,34,400.32,3.7777777777777777,-0.516131700744652,False
INV100092,C00147,2024-03-23,12,37,660.6800000000001,3.0833333333333335,-0.5550957878429625,False
INV100093,C00329,2024-09-12,1,3,45.57,3.0,-0.4190757402778982,False
INV100094,C00134,2024-10-14,2,5,78.52,2.5,-0.41027355398817067,False
INV100095,C00372,2024-07-28,4,12,169.24,3.0,-0.38094502058015967,False
INV100096,C00028,2024-10-04,6,22,274.25,3.6666666666666665,-0.44330406485537416,False
INV100097,C00307,2024-06-28,4,16,189.60999999999999,4.0,-0.4199202030269494,False
INV100098,C00266,2024-09-26,7,22,211.89999999999998,3.142857142857143,-0.4370905810258478,False
INV100099,C00156,2024-09-01,3,9,342.85,3.0,-0.4689635766390582,False
INV100100,C00079,2024-04-22,4,9,137.01999999999998,2.25,-0.401827425254738,False
INV100101,C00067,2024-10-29,4,14,263.69,3.5,-0.41618298541018495,False
INV100102,C00446,2024-06-30,4,13,176.92,3.25,-0.3874321398463679,False
INV100103,C00401,2024-06-24,2,6,51.85,3.0,-0.39577237205943394,False
INV100104,C00464,2024-09-19,1,1,10.21,1.0,-0.4930596556959244,False
INV100105,C00162,2024-12-27,1,5,128.55,5.0,-0.5055555522399371,False
INV100106,C00446,2024-07-23,7,19,276.21000000000004,2.7142857142857144,-0.42117826063684044,False
INV100107,C00143,2024-12-15,9,28,521.4599999999999,3.111111111111111,-0.4834214733193219,False
INV100108,C00347,2024-10-08,3,13,263.32,4.333333333333333,-0.4782755640025858,False
INV100109,C00289,2024-05-06,9,30,525.77,3.3333333333333335,-0.49465515568773877,False
INV100110,C00074,2024-07-03,28,765,9500.62,27.321428571428573,-0.8305036595577762,True
INV100111,C00383,2024-09-08,14,37,507.71000000000004,2.642857142857143,-0.5683126696892137,False
INV100112,C00336,2024-04-02,2,8,73.74000000000001,4.0,-0.40715449822466654,False
INV100113,C00135,2024-09-05,5,12,223.7,2.4,-0.42754503516132764,False
INV100114,C00409,2024-06-30,2,4,17.380000000000003,2.0,-0.4408345253389713,False
INV100115,C00196,2024-08-26,2,6,62.66,3.0,-0.39242629612599467,False
INV100116,C00446,2024-06-06,7,23,268.31,3.2857142857142856,-0.42312638646640865,False
INV100117,C00289,2024-03-26,2,5,71.31,2.5,-0.40765414744385514,False
INV100118,C00475,2024-07-08,1,3,56.46,3.0,-0.4252498223390113,False
INV100119,C00147,2024-12-20,2,4,26.159999999999997,2.0,-0.4320001524398393,False
INV100120,C00220,2024-05-12,12,42,685.05,3.5,-0.591061780939445,False
INV100121,C00222,2024-07-22,2,5,59.69,2.5,-0.4098679739744449,False
INV100122,C00038,2024-08-12,4,9,145.59,2.25,-0.4022276876878859,False
INV100123,C00123,2024-08-29,13,34,481.95,2.6153846153846154,-0.5397564794604466,False
INV100124,C00397,2024-09-01,2,8,144.52,4.0,-0.4102979199241208,False
INV100125,C00469,2024-09-29,1,2,10.2,2.0,-0.4517299199361687,False
INV100126,C00214,2024-06-20,1,3,35.73,3.0,-0.4236258394954278,False
INV100127,C00276,2024-08-30,5,16,149.1,3.2,-0.40714116090425806,False
INV100128,C00334,2024-06-05,2,7,44.900000000000006,3.5,-0.4075925776394059,False
INV100129,C00307,2024-07-16,1,1,7.38,1.0,-0.5033291634658816,False
INV100130,C00347,2024-11-07,3,9,113.06,3.0,-0.3926617863865686,False
INV100131,C00206,2024-09-11,7,29,495.96000000000004,4.142857142857143,-0.5305523687380532,False
INV100132,C00152,2024-07-03,9,28,257.19,3.111111111111111,-0.4550408824862222,False
INV100133,C00463,2024-04-25,4,9,162.64,2.25,-0.4066767832884852,False
INV100134,C00251,2024-07-14,3,8,159.53,2.6666666666666665,-0.41519238076287956,False
INV100135,C00478,2024-06-06,7,15,166.28,2.142857142857143,-0.46480367091761043,False
INV100136,C00071,2024-06-18,2,9,70.77000000000001,4.5,-0.44934421934603486,False
INV100137,C00040,2024-09-09,1,3,75.96,3.0,-0.4342916656571153,False
INV100138,C00493,2024-06-25,1,1,9.29,1.0,-0.49495898923925574,False
INV100139,C00227,2024-08-04,8,27,373.17,3.375,-0.4462076171873344,False
INV100140,C00041,2024-05-19,12,35,374.64,2.9166666666666665,-0.5125227230995361,False
INV100141,C00369,2024-04-04,5,20,380.2,4.0,-0.47542127374342463,False
INV100142,C00091,2024-07-13,1,3,55.95,3.0,-0.4252498223390113,False
INV100143,C00333,2024-07-02,7,19,320.19,2.7142857142857144,-0.4273551467246441,False
INV100144,C00158,2024-05-03,4,12,100.08,3.0,-0.3881448801643189,False
INV100145,C00420,2024-03-12,4,15,261.46000000000004,3.75,-0.4184179070796443,False
INV100146,C00459,2024-12-03,1,3,32.7,3.0,-0.42498564053804494,False
INV100147,C00433,2024-04-06,1,2,12.76,2.0,-0.4445975014898611,False
INV100148,C00237,2024-08-02,3,3,47.3,1.0,-0.510462582819136,False
INV100149,C00226,2024-04-28,4,13,201.43,3.25,-0.39165075142984207,False
INV100150,C00145,2024-04-05,5,13,128.04,2.6,-0.41094729467096247,False
INV100151,C00037,2024-02-09,7,20,221.23,2.857142857142857,-0.4261293451242911,False
INV100152,C00100,2024-03-07,4,9,186.52,2.25,-0.4197623695639158,False
INV100153,C00074,2024-04-01,3,5,40.69,1.6666666666666667,-0.46109610947044394,False
INV100154,C00194,2024-12-08,5,13,100.53,2.6,-0.4183430889472447,False
INV100155,C00033,2024-11-11,6,17,193.93,2.8333333333333335,-0.42659607522284004,False
INV100156,C00434,2024-04-07,3,13,325.78999999999996,4.333333333333333,-0.49582665196019404,False
INV100157,C00038,2024-06-21,9,26,348.51,2.888888888888889,-0.44039010612692076,False
INV100158,C00001,2024-09-29,9,24,298.68,2.6666666666666665,-0.44515434354649236,False
INV100159,C00014,2024-07-15,9,33,533.73,3.6666666666666665,-0.5232744325783742,False
INV100160,C00487,2024-09-28,4,10,104.16,2.5,-0.39667935009917554,False
INV100161,C00097,2024-06-08,4,9,147.44,2.25,-0.40329596148878644,False
INV100162,C00334,2024-01-25,6,17,277.57,2.8333333333333335,-0.4335010421670258,False
INV100163,C00024,2024-01-13,1,1,15.78,1.0,-0.48875153847800057,False
INV100164,C00259,2024-10-23,3,9,171.48999999999998,3.0,-0.3996871530677128,False
INV100165,C00456,2024-05-17,8,21,161.32999999999998,2.625,-0.46110231639255395,False
INV100166,C00334,2024-11-21,1,4,23.68,4.0,-0.4510099379714517,False
INV100167,C00211,2024-03-03,1,2,30.74,2.0,-0.4350756150890075,False
INV100168,C00495,2024-09-15,1,5,33.0,5.0,-0.48418853812594975,False
INV100169,C00336,2024-02-26,5,20,213.71999999999997,4.0,-0.44939100706847745,False
INV100170,C00498,2024-08-01,5,17,220.83999999999997,3.4,-0.4133437049361364,False
INV100171,C00386,2024-08-01,2,7,88.69,3.5,-0.3988246347768488,False
INV100172,C00147,2024-05-05,14,41,716.64,2.9285714285714284,-0.584361956604917,False
INV100173,C00033,2024-04-25,3,8,88.91,2.6666666666666665,-0.40266127829682336,False
INV100174,C00411,2024-08-14,5,17,443.17,3.4,-0.4735711807164366,False
INV100175,C00348,2024-07-08,12,44,701.38,3.6666666666666665,-0.6058373946784799,False
INV100176,C00049,2024-04-01,2,6,120.53999999999999,3.0,-0.4023688397916222,False
INV100177,C00261,2024-09-12,3,5,43.93,1.6666666666666667,-0.4582570563650331,False
INV100178,C00160,2024-06-08,1,3,24.0,3.0,-0.4276294729131956,False
INV100179,C00001,2024-08-22,7,21,259.22,3.0,-0.4170995136261202,False
INV100180,C00351,2024-04-10,4,12,299.21,3.0,-0.4248680223545845,False
INV100181,C00069,2024-10-20,5,18,387.32,3.6,-0.4627604437834068,False
INV100182,C00343,2024-08-31,5,14,195.13,2.8,-0.4069973577631882,False
INV100183,C00316,2024-03-15,2,7,107.99,3.5,-0.40243361351590995,False
INV100184,C00316,2024-10-17,4,10,77.94,2.5,-0.4020959104283996,False
INV100185,C00062,2024-03-16,1,1,14.79,1.0,-0.48696884731564294,False
INV100186,C00224,2024-06-20,10,28,557.83,2.8,-0.5111317070988506,False
INV100187,C00198,2024-08-12,2,8,92.68,4.0,-0.40657138149691596,False
INV100188,C00151,2024-06-12,4,10,94.05,2.5,-0.39875260730277434,False
INV100189,C00241,2024-11-21,2,8,82.0,4.0,-0.4046489379735516,False
INV100190,C00377,2024-04-19,7,23,481.42,3.2857142857142856,-0.4572390139778858,False
INV100191,C00090,2024-09-20,4,10,109.63,2.5,-0.3953651707616777,False
INV100192,C00134,2024-12-12,8,24,211.82000000000002,3.0,-0.4490209450253863,False
INV100193,C00133,2024-10-27,3,10,110.0,3.3333333333333335,-0.4022683554768159,False
INV100194,C00280,2024-04-13,4,15,120.13,3.75,-0.4063451312822066,False
INV100195,C00112,2024-07-18,4,16,310.31,4.0,-0.4473251490184428,False
INV100196,C00365,2024-02-01,2,7,197.91000000000003,3.5,-0.43510641206146483,False
INV100197,C00159,2024-06-17,2,8,38.27,4.0,-0.42524485682200597,False
INV100198,C00237,2024-02-14,4,16,187.97,4.0,-0.4201107269307152,False
INV100199,C00435,2024-03-14,8,19,230.88,2.375,-0.45614250742415524,False
INV100200,C00245,2024-04-12,2,9,105.45,4.5,-0.4460725038740188,False
INV100201,C00156,2024-10-31,28,799,10089.76,28.535714285714285,-0.8364246944461393,True
INV100202,C00313,2024-10-20,1,5,28.75,5.0,-0.48897853076033576,False
INV100203,C00022,2024-05-22,4,11,227.33,2.75,-0.40684955513532733,False
INV100204,C00114,2024-06-26,2,3,17.24,1.5,-0.47189014199484247,False
INV100205,C00278,2024-05-09,1,2,38.8,2.0,-0.438295951912197,False
INV100206,C00321,2024-09-25,4,15,333.31,3.75,-0.44303354705742826,False
INV100207,C00295,2024-11-03,9,31,536.34,3.4444444444444446,-0.5032137638414198,False
INV100208,C00418,2024-02-25,8,22,276.16,2.75,-0.4308036352733951,False
INV100209,C00106,2024-07-04,3,9,151.6,3.0,-0.39712027164210995,False
INV100210,C00320,2024-07-03,8,25,257.19,3.125,-0.43505373976836587,False
INV100211,C00207,2024-11-17,1,4,68.4,4.0,-0.4479532689546114,False
INV100212,C00322,2024-08-25,1,3,69.06,3.0,-0.4307202470163548,False
INV100213,C00268,2024-05-16,1,1,10.79,1.0,-0.49136272381094986,False
INV100214,C00269,2024-05-19,4,12,268.21,3.0,-0.41182920314627114,False
INV100215,C00229,2024-06-19,1,5,36.6,5.0,-0.48063255463311266,False
INV100216,C00120,2024-10-22,2,2,13.18,1.0,-0.507803659206961,False
INV100217,C00047,2024-09-16,4,12,172.13,3.0,-0.3813622265987628,False
INV100218,C00366,2024-03-19,2,7,53.78,3.5,-0.40562513279329526,False
INV100219,C00230,2024-08-16,2,8,67.81,4.0,-0.40728437126821393,False
INV100220,C00444,2024-03-09,4,12,226.39000000000001,3.0,-0.3955257357650496,False
INV100221,C00444,2024-03-02,5,18,189.69,3.6,-0.4224737449433986,False
INV100222,C00312,2024-01-19,4,10,130.35999999999999,2.5,-0.3929583661379253,False
INV100223,C00326,2024-11-14,4,10,123.65,2.5,-0.39396317690761234,False
INV100224,C00040,2024-08-22,3,8,138.16,2.6666666666666665,-0.4105789953675591,False
INV100225,C00078,2024-02-18,4,13,186.37,3.25,-0.3904223194875819,False
INV100226,C00342,2024-10-13,12,36,278.05,3.0,-0.5254197264758823,False
INV100227,C00125,2024-07-11,4,12,171.16,3.0,-0.38084512223608835,False
INV100228,C00196,2024-02-08,4,9,65.28,2.25,-0.41008671408760783,False
INV100229,C00377,2024-06-04,4,10,133.82,2.5,-0.3922546765259918,False
INV100230,C00194,2024-10-17,33,901,8726.35,27.303030303030305,-0.8319096168135492,True
INV100231,C00000,2024-07-25,3,11,82.75,3.6666666666666665,-0.4123793536026693,False
INV100232,C00435,2024-05-26,1,3,17.25,3.0,-0.434362825146079,False
INV100233,C00052,2024-05-06,7,19,207.88,2.7142857142857144,-0.4277741241408857,False
INV100234,C00123,2024-05-06,4,12,149.36,3.0,-0.3801748444436166,False
INV100235,C00147,2024-10-19,9,27,344.73,3.0,-0.44143905160726116,False
INV100236,C00466,2024-10-24,2,8,106.18,4.0,-0.40915088490665746,False
INV100237,C00071,2024-12-13,12,35,609.8,2.9166666666666665,-0.5402258779294022,False
INV100238,C00237,2024-08-17,2,6,62.82,3.0,-0.3922199693695453,False
INV100239,C00365,2024-08-23,10,29,472.84000000000003,2.9,-0.4827185711904705,False
INV100240,C00052,2024-10-09,12,34,368.17,2.8333333333333335,-0.5119629512979982,False
INV100241,C00061,2024-04-21,6,20,293.52,3.3333333333333335,-0.43329956973676337,False
INV100242,C00211,2024-09-10,4,10,136.93,2.5,-0.3921764446558495,False
INV100243,C00432,2024-03-19,13,50,654.51,3.8461538461538463,-0.6277624578959953,False
INV100244,C00457,2024-09-11,7,21,267.4,3.0,-0.41566524476919925,False
INV100245,C00479,2024-08-06,4,9,96.9,2.25,-0.40317348269098296,False
INV100246,C00234,2024-12-24,7,16,182.35,2.2857142857142856,-0.4563653694151263,False
INV100247,C00446,2024-07-16,4,12,127.63,3.0,-0.3806478702912164,False
INV100248,C00206,2024-09-02,4,14,114.69,3.5,-0.39712230380517916,False
INV100249,C00405,2024-05-14,5,18,308.4,3.6,-0.4328886743978548,False
INV100250,C00165,2024-07-18,1,2,14.04,2.0,-0.4416805373262576,False
INV100251,C00165,2024-04-30,1,5,25.6,5.0,-0.4915207803919022,False
INV100252,C00498,2024-03-09,5,16,237.39,3.2,-0.40862803730718694,False
INV100253,C00367,2024-07-23,1,1,15.37,1.0,-0.4887133004423712,False
INV100254,C00239,2024-06-26,4,15,201.29999999999998,3.75,-0.40255718878418856,False
INV100255,C00479,2024-09-19,7,22,250.17000000000002,3.142857142857143,-0.42399236707068216,False
INV100256,C00065,2024-08-18,6,24,411.74,4.0,-0.4950861778919257,False
INV100257,C00022,2024-09-04,2,8,139.39999999999998,4.0,-0.41079915163835196,False
INV100258,C00425,2024-10-03,1,2,33.62,2.0,-0.43636650741620964,False
INV100259,C00026,2024-02-29,2,9,108.69,4.5,-0.44636404194901236,False
INV100260,C00035,2024-05-09,4,12,199.92000000000002,3.0,-0.38684988277293975,False
INV100261,C00022,2024-05-01,2,4,55.23,2.0,-0.41972140462286145,False
INV100262,C00419,2024-04-16,2,9,94.92999999999999,4.5,-0.4441385410902845,False
INV100263,C00458,2024-06-03,3,5,93.25999999999999,1.6666666666666667,-0.4584943351594662,False
INV100264,C00336,2024-06-04,1,4,29.28,4.0,-0.44891299234326115,False
INV100265,C00056,2024-11-10,9,30,452.94,3.3333333333333335,-0.4723244593485422,False
INV100266,C00227,2024-09-12,2,4,53.64,2.0,-0.4198253573592677,False
INV100267,C00431,2024-10-03,12,36,460.42,3.0,-0.5100627452236516,False
INV100268,C00095,2024-12-25,9,21,255.44,2.3333333333333335,-0.47170978684272347,False
INV100269,C00430,2024-09-21,2,8,157.15,4.0,-0.4147969120475226,False
INV100270,C00388,2024-03-20,1,1,19.79,1.0,-0.5023361850672026,False
INV100271,C00168,2024-03-12,1,2,18.74,2.0,-0.43534798449670215,False
INV100272,C00375,2024-06-19,2,7,78.45,3.5,-0.39791193628182303,False
INV100273,C00316,2024-05-11,4,6,112.97,1.5,-0.46913771438732504,False
INV100274,C00353,2024-06-24,4,14,130.92,3.5,-0.39458789163820474,False
INV100275,C00493,2024-05-07,1,3,17.76,3.0,-0.4323495225232683,False
INV100276,C00410,2024-07-04,5,17,219.93,3.4,-0.41146584978916906,False
INV100277,C00493,2024-05-27,2,2,21.96,1.0,-0.5010176493168166,False
INV100278,C00019,2024-07-31,4,11,210.2,2.75,-0.4013099891262537,False
INV100279,C00244,2024-06-02,2,8,62.72,4.0,-0.4110526811968112,False
INV100280,C00425,2024-10-11,2,9,199.82,4.5,-0.4667733633517278,False
INV100281,C00318,2024-08-23,4,9,82.5,2.25,-0.40571542838126146,False
INV100282,C00227,2024-12-17,1,5,50.45,5.0,-0.47552468930335007,False
INV100283,C00111,2024-10-12,4,14,162.03,3.5,-0.3925471960755507,False
INV100284,C00282,2024-03-25,5,14,65.55,2.8,-0.42481789393280833,False
INV100285,C00041,2024-03-07,5,19,285.87,3.8,-0.43405869117721224,False
INV100286,C00190,2024-12-27,4,17,231.53,4.25,-0.45987885689794755,False
INV100287,C00214,2024-01-27,14,45,419.64,3.2142857142857144,-0.5730067434301609,False
INV100288,C00279,2024-03-25,4,15,98.87,3.75,-0.4165135519526312,False
INV100289,C00445,2024-04-01,2,6,73.75999999999999,3.0,-0.39174533305938575,False
INV100290,C00387,2024-12-01,2,4,56.92,2.0,-0.4207047712487646,False
INV100291,C00374,2024-09-20,1,2,14.94,2.0,-0.4378476445538231,False
INV100292,C00217,2024-08-19,3,9,96.03,3.0,-0.39283071548436804,False
INV100293,C00014,2024-02-17,3,7,79.45,2.3333333333333335,-0.4109966774190084,False
INV100294,C00153,2024-12-11,5,17,205.91,3.4,-0.40984844391436526,False
INV100295,C00259,2024-05-22,3,8,124.95,2.6666666666666665,-0.4071045725174929,False
INV100296,C00495,2024-08-01,3,10,122.39,3.3333333333333335,-0.3999044810428742,False
INV100297,C00125,2024-02-11,5,14,195.77,2.8,-0.407900721554579,False
INV100298,C00445,2024-04-19,3,4,51.67,1.3333333333333333,-0.47926618990558006,False
INV100299,C00379,2024-07-30,2,3,34.49,1.5,-0.4590039114597829,False
INV100300,C00499,2024-08-16,4,12,168.21,3.0,-0.38094502058015967,False
INV100301,C00450,2024-08-22,4,11,165.9,2.75,-0.3881601602989281,False
INV100302,C00071,2024-09-16,4,15,108.75999999999999,3.75,-0.40981459953615296,False
INV100303,C00271,2024-10-09,16,43,619.74,2.6875,-0.6272208817202493,False
INV100304,C00111,2024-06-05,4,12,126.53,3.0,-0.38214496736625636,False
INV100305,C00001,2024-06-08,9,29,404.32,3.2222222222222223,-0.4557373030885077,False
INV100306,C00047,2024-08-05,12,34,396.6,2.8333333333333335,-0.5078500047294476,False
INV100307,C00218,2024-04-28,1,3,25.62,3.0,-0.42863579565797066,False
INV100308,C00338,2024-10-26,5,12,179.96,2.4,-0.4164890073175295,False
INV100309,C00372,2024-03-27,2,2,37.11,1.0,-0.4984099021174214,False
INV100310,C00434,2024-05-17,5,8,53.02,1.6,-0.4868984498762933,False
INV100311,C00293,2024-05-25,2,6,61.260000000000005,3.0,-0.39270382107833557,False
INV100312,C00164,2024-11-10,1,4,56.64,4.0,-0.4442543562521085,False
INV100313,C00267,2024-02-21,7,26,297.96000000000004,3.7142857142857144,-0.44979603203529417,False
INV100314,C00238,2024-07-12,4,8,99.01,2.0,-0.4208435867585102,False
INV100315,C00028,2024-05-08,8,24,291.02,3.0,-0.4286412609899242,False
INV100316,C00395,2024-04-13,1,2,12.36,2.0,-0.4450266097254981,False
INV100317,C00049,2024-07-18,5,18,334.49,3.6,-0.4379655425273499,False
INV100318,C00248,2024-05-21,8,16,226.0,2.0,-0.49844091423715126,False
INV100319,C00106,2024-09-16,3,10,113.56,3.3333333333333335,-0.3999377692605407,False
INV100320,C00286,2024-05-08,1,5,222.05,5.0,-0.546598691927327,False
INV100321,C00348,2024-11-22,12,40,536.78,3.3333333333333335,-0.5352412138282787,False
INV100322,C00383,2024-12-08,15,49,662.21,3.2666666666666666,-0.6282381069534141,True
INV100323,C00248,2024-08-01,6,15,215.07999999999998,2.5,-0.4345508835623149,False
INV100324,C00291,2024-09-03,4,11,90.07000000000001,2.75,-0.3943174206555433,False
INV100325,C00415,2024-06-19,6,19,236.56,3.1666666666666665,-0.4219426448393094,False
INV100326,C00425,2024-07-08,9,20,241.26999999999998,2.2222222222222223,-0.4810567817108167,False
INV100327,C00487,2024-06-24,4,11,119.53999999999999,2.75,-0.38805404299250024,False
INV100328,C00048,2024-10-18,1,2,14.3,2.0,-0.4391089917270342,False
INV100329,C00478,2024-07-30,8,16,282.39,2.0,-0.5009048902089922,False
INV100330,C00410,2024-09-23,2,6,140.72,3.0,-0.4128481727997733,False
INV100331,C00230,2024-09-10,7,18,193.97,2.5714285714285716,-0.4395476150766179,False
INV100332,C00116,2024-06-08,1,1,7.79,1.0,-0.4994053476581414,False
