customer_id,recency_days,frequency,monetary,avg_basket_value,product_diversity,category_diversity,archetype
C00116,206,2,130.51,65.255,4,4,regular
C00117,200,1,96.71000000000001,96.71000000000001,5,3,loyal
C00118,126,3,134.88,44.96,5,3,dormant
C00119,110,5,651.46,130.292,19,8,loyal
C00120,18,11,3306.83,300.6209090909091,68,8,champion
C00121,207,1,184.16,184.16,6,4,at_risk
C00122,354,1,194.32999999999998,194.33,3,3,at_risk
C00123,36,6,966.15,161.025,27,8,loyal
C00124,108,3,267.37,89.12333333333333,10,4,loyal
C00125,38,6,1058.26,176.37666666666667,25,8,loyal
C00126,66,4,513.0899999999999,128.27249999999998,10,5,regular
C00127,61,3,625.39,208.46333333333337,11,6,regular
C00128,65,3,815.65,271.8833333333333,12,4,loyal
C00129,30,6,1828.5900000000001,304.76499999999993,46,8,champion
C00130,262,1,66.83,66.83,3,3,regular
C00131,75,1,32.6,32.6,1,1,dormant
C00133,65,2,276.61,138.305,7,4,regular
C00134,16,12,2709.96,225.83,70,8,champion
C00135,109,5,668.58,133.71599999999998,19,8,loyal
C00136,77,3,1144.46,381.48666666666674,22,7,loyal
C00138,118,2,164.01999999999998,82.00999999999999,3,2,at_risk
C00140,148,1,81.66,81.66,1,1,dormant
C00141,14,1,29.39,29.39,2,1,dormant
C00143,16,8,3017.29,377.16125,64,8,champion
C00144,50,4,345.13,86.2825,11,7,loyal
C00145,43,5,441.98,88.396,16,6,loyal
C00146,156,1,83.64999999999999,83.64999999999999,2,2,regular
C00147,11,12,5361.61,446.8008333333333,96,8,champion
C00148,183,1,7.24,7.24,1,1,at_risk
C00149,130,2,144.47,72.235,4,3,regular
C00150,200,2,160.82,80.41,5,4,regular
C00151,41,6,1539.45,256.575,31,7,loyal
C00152,90,3,616.88,205.62666666666667,18,6,loyal
C00153,20,4,597.1800000000001,149.29500000000002,18,8,loyal
C00155,143,2,148.07999999999998,74.03999999999999,4,4,regular
C00156,61,2,10432.61,5216.305,30,8,regular
C00157,41,1,70.74000000000001,70.74000000000001,2,2,loyal
C00158,29,8,11741.53,1467.69125,50,8,loyal
C00159,59,5,484.94,96.988,14,7,regular
C00160,206,1,24.0,24.0,1,1,at_risk
C00161,212,2,142.8,71.4,3,2,at_risk
C00162,4,5,1295.03,259.006,24,5,loyal
C00163,237,1,34.68,34.68,1,1,dormant
C00164,38,5,816.83,163.366,21,7,loyal
C00165,166,3,278.59,92.86333333333334,7,5,at_risk
C00166,31,5,1381.39,276.27799999999996,41,8,champion
C00167,55,2,544.49,272.245,10,5,loyal
C00168,294,2,68.47,34.235,3,3,at_risk
C00169,112,3,432.7,144.23333333333335,9,5,loyal
C00170,62,2,153.09,76.545,6,4,regular
C00171,242,1,126.18,126.18,3,2,regular
C00172,210,5,498.69,99.738,16,7,loyal
C00173,238,2,26.259999999999998,13.129999999999999,3,2,regular
C00174,190,1,133.3,133.3,4,2,at_risk
C00176,30,5,742.15,148.43,19,7,loyal
C00178,88,2,600.32,300.15999999999997,7,4,loyal
C00179,9,7,1480.05,211.43571428571428,25,8,loyal
C00180,21,2,351.62,175.81,8,5,loyal
C00181,365,1,67.04,67.04,1,1,dormant
C00183,141,3,614.0999999999999,204.70000000000002,11,5,at_risk
C00184,151,1,185.69,185.69,6,5,regular
C00185,90,2,364.39,182.195,9,6,regular
C00188,64,3,564.7,188.23333333333335,11,7,regular
C00189,62,2,621.88,310.94,11,4,loyal
C00190,4,8,1218.98,152.3725,24,8,loyal
C00192,138,1,216.70999999999998,216.70999999999998,5,5,regular
C00193,140,1,193.55,193.55,1,1,dormant
C00194,23,5,9331.9,1866.3799999999999,49,8,loyal
C00195,38,2,385.76,192.88000000000005,11,6,regular
C00196,127,4,209.43,52.357499999999995,9,5,loyal
C00197,8,7,1057.41,151.0585714285714,24,8,loyal
C00198,27,8,1973.89,246.73625,48,8,champion
C00199,20,11,2843.17,258.47,59,8,champion
C00200,319,2,226.56,113.28,6,3,at_risk
C00201,62,2,618.38,309.19,12,5,loyal
C00202,59,5,513.0699999999999,102.61399999999999,14,8,regular
C00203,118,2,154.9,77.45,8,6,regular
C00204,96,2,275.1,137.54999999999998,8,4,regular
C00206,111,6,1053.41,175.56833333333336,23,8,loyal
C00207,44,3,163.04000000000002,54.34666666666667,3,3,dormant
C00209,167,3,400.59999999999997,133.53333333333333,10,6,regular
C00210,154,1,41.24,41.24,1,1,regular
C00211,30,6,466.63,77.77166666666666,14,8,loyal
C00212,271,1,30.52,30.52,1,1,at_risk
C00213,110,5,1277.31,255.46200000000005,20,7,loyal
C00214,94,8,1564.68,195.585,39,8,champion
C00215,33,3,112.14,37.38,6,5,loyal
C00217,44,4,1143.63,285.9075,21,7,regular
C00218,88,3,55.08,18.36,3,3,at_risk
C00219,193,1,124.12,124.12,4,3,at_risk
C00220,58,6,1320.39,220.06499999999997,32,8,loyal
C00222,141,2,67.62,33.81,3,3,regular
C00223,279,1,51.66,51.66,1,1,regular
C00224,121,5,1302.84,260.5679999999999,29,7,champion
C00226,71,10,1382.76,138.276,36,7,loyal
C00227,14,8,1588.24,198.52999999999997,36,8,champion
C00228,56,4,560.05,140.01250000000002,11,6,regular
C00229,37,6,1433.38,238.89666666666668,28,8,loyal
C00230,78,4,473.47,118.36750000000002,15,6,loyal
C00231,126,3,253.03,84.34333333333332,7,5,regular
C00232,42,3,486.67,162.22333333333333,9,6,loyal
C00234,7,2,227.09,113.54499999999999,8,4,loyal
C00235,220,3,388.96000000000004,129.65333333333334,8,4,regular
C00236,100,1,183.98,183.98,2,1,regular
C00237,31,6,662.99,110.49833333333332,17,7,regular
C00238,107,6,579.32,96.55333333333334,19,7,regular
C00239,146,2,267.13,133.565,5,5,regular
C00240,117,1,58.8,58.8,1,1,dormant
C00241,20,8,790.42,98.8025,25,7,loyal
C00242,119,6,1090.66,181.77666666666667,22,8,loyal
C00243,92,1,180.87,180.86999999999998,4,3,regular
C00244,160,2,88.28,44.14,3,3,at_risk
C00245,37,5,861.59,172.318,24,8,champion
C00246,224,1,97.95,97.95,4,4,regular
C00247,79,3,197.61,65.87,6,5,at_risk
C00248,152,4,701.83,175.4575,19,6,regular
C00249,168,1,14.4,14.4,1,1,dormant
C00250,281,1,11359.6,11359.599999999999,27,7,regular
C00251,143,3,386.57,128.85666666666668,11,6,regular
C00252,12,5,9882.22,1976.444,39,8,loyal
C00254,58,3,362.94,120.98,10,5,loyal
C00256,232,1,150.95999999999998,150.95999999999998,5,3,regular
C00257,103,3,645.1700000000001,215.05666666666664,12,7,regular
C00258,136,3,433.33,144.44333333333333,12,6,regular
C00259,69,4,514.35,128.5875,14,6,regular
C00260,142,2,229.19,114.595,5,4,at_risk
C00261,110,1,43.93,43.93,3,3,regular
C00262,108,2,65.34,32.67,3,2,regular
C00263,83,2,113.24000000000001,56.620000000000005,5,5,loyal
C00264,114,2,229.15,114.575,6,5,regular
C00265,217,1,117.38,117.38,3,3,regular
C00266,96,4,1101.76,275.44,32,8,loyal
C00267,7,5,1399.04,279.80800000000005,39,8,champion
C00268,191,3,288.17,96.05666666666667,8,6,regular
C00269,226,2,317.45,158.725,6,4,regular
C00270,115,9,904.09,100.45444444444446,25,8,regular
C00271,23,12,3509.95,292.49583333333334,73,8,champion
C00272,107,6,1069.27,178.21166666666667,31,8,loyal
C00273,52,2,232.01,116.005,7,4,loyal
C00274,179,3,311.67,103.89,5,5,at_risk
C00275,231,2,46.150000000000006,23.075000000000003,2,2,at_risk
C00276,19,4,744.74,186.18499999999997,20,8,loyal
C00277,182,1,104.05,104.05,5,5,regular
C00278,59,2,90.52,45.26,2,2,loyal
C00279,141,4,405.69,101.42250000000001,14,7,loyal
C00280,31,6,1143.78,190.63,30,8,loyal
C00281,33,3,251.82,83.94000000000001,7,6,loyal
C00282,281,1,65.55,65.55,5,4,regular
C00284,322,1,123.38,123.38,2,2,loyal
C00285,42,4,440.93,110.23249999999999,13,6,regular
C00286,53,5,755.39,151.078,11,6,regular
C00287,306,1,27.45,27.45,1,1,dormant
C00288,30,2,41.08,20.54,3,2,regular
C00289,82,4,1404.52,351.12999999999994,28,8,loyal
C00290,199,2,223.9,111.94999999999999,5,2,regular
C00291,47,7,1004.21,143.45857142857145,21,7,loyal
C00292,239,1,20.7,20.7,1,1,dormant
C00293,8,6,636.01,106.00166666666667,18,8,loyal
C00294,46,5,422.08,84.41600000000001,13,7,regular
C00295,39,9,2960.12,328.9022222222221,67,8,champion
C00296,32,1,90.85,90.85,2,2,regular
C00298,197,3,303.21,101.07,11,8,regular
C00300,323,1,30.64,30.64,1,1,dormant
C00301,345,1,50.45,50.45,1,1,at_risk
C00302,302,1,343.8,343.8,8,4,loyal
C00303,129,3,692.35,230.7833333333333,16,7,regular
C00306,6,4,380.88,95.22,8,6,loyal
C00307,107,5,613.74,122.748,23,8,loyal
C00308,203,1,18.04,18.04,1,1,at_risk
C00309,179,1,68.68,68.68,1,1,at_risk
C00310,116,2,173.17000000000002,86.58500000000001,5,5,at_risk
C00311,217,1,10.64,10.64,1,1,dormant
C00312,28,2,166.48,83.24,5,3,regular
C00313,72,1,28.75,28.75,1,1,at_risk
C00314,261,1,34.72,34.72,1,1,at_risk
C00315,254,1,152.97,152.97,3,3,regular
C00316,75,3,298.9,99.63333333333333,9,5,regular
C00317,21,6,1435.71,239.28500000000005,30,7,loyal
C00318,130,2,128.92000000000002,64.46000000000001,6,4,regular
C00319,205,3,314.15999999999997,104.72000000000001,10,6,loyal
C00320,8,6,1070.23,178.37166666666667,26,8,loyal
C00321,97,2,455.65999999999997,227.82999999999998,8,6,regular
C00322,128,2,77.33,38.665,2,2,regular
C00323,48,3,201.18,67.06,7,5,loyal
C00324,110,2,112.53999999999999,56.269999999999996,4,2,at_risk
C00325,123,1,185.94,185.94,4,3,at_risk
C00326,47,5,385.91,77.18200000000002,10,6,loyal
C00327,31,10,4408.7,440.87000000000006,82,8,champion
C00328,3,5,760.49,152.09799999999996,20,8,loyal
C00329,110,2,235.95,117.975,5,5,at_risk
C00330,216,3,376.08,125.36000000000001,6,4,at_risk
C00331,297,1,50.31,50.31,2,2,loyal
C00332,253,1,146.82,146.82,4,4,at_risk
C00333,31,8,13640.89,1705.11125,76,8,champion
C00334,10,6,1179.99,196.66499999999996,27,6,loyal
C00335,166,2,50.8,25.4,2,1,dormant
C00336,71,9,1575.18,175.01999999999998,34,8,loyal
C00337,62,6,1141.06,190.17666666666665,31,8,loyal
C00338,66,4,433.62,108.405,13,6,regular
C00342,62,3,686.21,228.73666666666668,18,7,champion
C00343,122,5,1295.78,259.156,31,8,loyal
C00345,19,7,13817.81,1973.972857142857,61,8,loyal
C00347,54,5,520.14,104.02799999999999,12,7,regular
C00348,10,8,3384.07,423.00875,63,8,champion
C00350,225,3,247.03,82.34333333333335,11,7,loyal
C00351,216,3,441.56,147.18666666666664,8,6,regular
C00352,43,2,305.03999999999996,152.52,7,4,regular
C00353,175,4,9178.34,2294.585,35,8,regular
C00354,184,2,176.99,88.495,4,4,regular
C00356,348,1,120.05,120.05,3,3,dormant
C00358,110,1,155.29999999999998,155.29999999999998,5,3,regular
C00359,17,5,1554.22,310.84399999999994,35,8,champion
C00360,36,1,157.91,157.91000000000003,5,3,regular
C00361,171,1,14.64,14.64,1,1,dormant
C00362,157,4,889.11,222.2775,19,8,loyal
C00363,279,1,35.9,35.9,3,3,regular
C00364,119,2,177.65,88.825,3,3,regular
C00365,43,7,2070.62,295.80285714285714,44,7,champion
C00366,245,3,319.33,106.44333333333333,10,7,regular
C00367,112,4,321.78,80.445,8,6,loyal
C00368,271,1,53.19,53.19,1,1,at_risk
C00369,224,3,559.48,186.49333333333334,10,8,at_risk
C00370,46,1,132.81,132.81,4,3,at_risk
C00371,162,3,256.22999999999996,85.41000000000001,6,5,regular
C00372,61,5,553.17,110.63400000000001,15,6,loyal
C00373,70,6,610.51,101.75166666666668,18,8,regular
C00374,102,2,79.56,39.78,3,2,at_risk
C00375,28,3,180.66,60.22,5,3,regular
C00376,312,1,67.24,67.24,1,1,at_risk
C00377,210,2,615.24,307.62,11,6,loyal
C00378,247,2,191.6,95.80000000000001,6,2,at_risk
C00379,10,6,1554.53,259.08833333333337,30,8,champion
C00380,123,1,85.5,85.5,1,1,loyal
C00381,10,8,1380.1100000000001,172.51375000000002,27,7,regular
C00382,32,4,929.82,232.45499999999998,18,7,champion
C00383,23,4,2225.8,556.45,46,8,champion
C00384,100,4,1338.65,334.6625,25,7,champion
C00386,145,2,297.29999999999995,148.64999999999998,6,4,at_risk
C00387,30,5,1638.79,327.75800000000004,46,8,champion
C00388,191,2,69.50999999999999,34.754999999999995,4,3,regular
C00389,335,1,49.57,49.57,2,1,at_risk
C00390,135,5,735.5699999999999,147.11399999999998,17,7,loyal
C00391,97,2,214.69,107.345,6,4,loyal
C00394,39,2,294.52,147.26,6,3,regular
C00395,262,1,12.36,12.36,1,1,at_risk
C00396,50,11,15365.86,1396.896363636364,85,8,champion
C00397,15,7,1382.89,197.5557142857143,27,8,loyal
C00398,192,3,274.19,91.39666666666666,9,6,regular
C00400,161,1,85.56,85.56,2,1,at_risk
C00401,92,3,162.45,54.15,5,3,regular
C00402,51,1,128.91,128.91,3,3,at_risk
C00403,148,2,305.78000000000003,152.89,8,3,regular
C00404,85,4,810.94,202.735,17,6,loyal
C00405,25,8,820.12,102.51499999999999,19,8,loyal
C00406,19,3,310.96,103.65333333333335,6,2,loyal
C00408,18,5,1265.35,253.06999999999994,24,8,champion
C00409,61,4,870.77,217.69249999999997,25,8,champion
C00410,73,6,1333.85,222.30833333333328,27,8,loyal
C00411,48,5,1246.23,249.24599999999995,28,8,loyal
C00412,284,1,304.28000000000003,304.28,6,5,at_risk
C00415,195,2,331.4,165.7,8,4,loyal
C00416,255,2,294.31,147.155,4,3,regular
C00418,87,9,1385.54,153.94888888888886,34,8,loyal
C00419,259,2,235.82,117.91,4,2,at_risk
C00420,294,2,11087.59,5543.794999999999,34,8,dormant
C00421,39,3,236.93,78.97666666666667,7,5,at_risk
C00422,226,1,275.56,275.55999999999995,5,4,loyal
C00423,176,1,351.97,351.97,5,5,loyal
C00424,131,2,224.69,112.34499999999998,5,4,regular
C00425,81,5,733.1899999999999,146.63799999999998,17,6,loyal
C00427,243,1,200.88,200.88,5,3,regular
C00428,310,2,624.84,312.42,14,7,regular
C00429,109,2,60.62,30.31,2,2,at_risk
C00430,101,2,193.34,96.67,4,3,regular
C00431,79,4,1655.37,413.84250000000003,38,7,champion
C00432,42,7,2384.9,340.7000000000001,59,8,champion
C00433,65,6,754.9,125.81666666666666,16,6,regular
C00434,68,5,614.29,122.85799999999999,15,7,regular
C00435,105,4,509.71999999999997,127.43,16,7,loyal
C00436,209,1,163.66,163.66,5,2,regular
C00438,32,3,398.35,132.78333333333333,9,3,at_risk
C00439,219,2,128.83,64.415,4,3,regular
C00440,94,3,899.3,299.76666666666665,16,7,loyal
C00441,69,2,331.2,165.60000000000002,12,8,loyal
C00442,240,1,173.39,173.39,7,5,regular
C00444,117,3,433.44,144.48,10,7,regular
C00445,132,4,445.39,111.34750000000001,13,7,regular
C00446,12,11,2461.24,223.74909090909094,71,8,champion
C00447,18,7,1667.45,238.2071428571428,34,8,champion
C00448,269,1,199.98000000000002,199.98000000000002,4,4,loyal
C00450,131,2,198.44,99.22,6,3,regular
C00451,63,3,543.59,181.19666666666663,7,5,loyal
C00453,196,1,373.87,373.86999999999995,7,5,regular
C00454,259,1,91.81,91.81,4,3,regular
C00456,117,7,2683.53,383.3614285714287,54,8,champion
C00457,91,3,748.25,249.41666666666666,16,7,loyal
C00458,81,2,399.73999999999995,199.87,8,4,regular
C00459,28,3,408.09,136.03,12,7,loyal
C00460,273,1,105.88999999999999,105.89,4,3,regular
C00461,41,3,299.34000000000003,99.78000000000002,7,7,loyal
C00462,126,3,811.35,270.45,18,7,champion
C00463,49,7,666.37,95.19571428571429,16,8,loyal
C00464,103,1,10.21,10.21,1,1,regular
C00465,2,5,869.09,173.81799999999998,23,8,loyal
C00466,68,3,298.02,99.33999999999999,8,5,loyal
C00467,315,1,194.92,194.92,4,3,at_risk
C00468,40,8,10849.22,1356.1525,49,8,loyal
C00469,76,3,91.3,30.433333333333334,5,2,loyal
C00470,53,5,1727.2,345.44,37,8,champion
C00471,32,4,1432.79,358.1975,24,8,loyal
C00472,30,4,257.90999999999997,64.47749999999999,8,8,loyal
C00473,26,3,342.95,114.31666666666666,9,4,regular
C00474,192,2,27.19,13.595,2,2,loyal
C00475,176,1,56.46,56.46,1,1,at_risk
C00476,138,1,2.62,2.62,1,1,at_risk
C00477,40,7,3126.64,446.6628571428572,61,8,champion
C00478,12,11,3639.84,330.8945454545455,84,8,champion
C00479,50,7,1645.99,235.14142857142858,38,8,champion
C00480,144,2,558.5899999999999,279.295,11,7,regular
C00481,81,7,1572.8700000000001,224.69571428571427,26,8,loyal
C00483,293,1,177.09,177.09,2,2,at_risk
C00484,60,1,204.78,204.77999999999997,5,5,at_risk
C00485,160,1,14.1,14.1,1,1,regular
C00487,8,12,15482.69,1290.2241666666666,84,8,champion
C00488,105,3,419.97,139.98999999999998,15,7,regular
C00489,44,4,291.11,72.7775,9,5,loyal
C00491,90,2,261.51,130.755,3,2,regular
C00492,291,1,374.90000000000003,374.90000000000003,6,4,at_risk
C00493,189,4,257.57,64.3925,11,4,loyal
C00495,107,5,640.26,128.052,12,6,regular
C00496,115,1,63.6,63.6,3,2,regular
C00498,97,4,611.67,152.9175,15,6,loyal
C00499,36,4,1146.01,286.50250000000005,20,7,loyal
