invoice_id,customer_id,invoice_date,n_lines,total_quantity,invoice_value,avg_unit_qty
INV100082,C00096,2024-06-16,2,7,63.489999999999995,3.5
INV100083,C00429,2024-05-23,1,2,40.44,2.0
INV100084,C00328,2024-01-25,1,1,18.11,1.0
INV100085,C00176,2024-12-01,2,6,88.99000000000001,3.0
INV100086,C00367,2024-08-03,1,5,35.1,5.0
INV100087,C00345,2024-03-08,1,3,45.15,3.0
INV100088,C00470,2024-11-08,7,15,149.75,2.142857142857143
INV100089,C00468,2024-09-27,2,6,107.77000000000001,3.0
INV100090,C00173,2024-05-07,2,3,11.64,1.5
INV100091,C00134,2024-06-05,9,34,400.32,3.7777777777777777
INV100092,C00147,2024-03-23,12,37,660.6800000000001,3.0833333333333335
INV100093,C00329,2024-09-12,1,3,45.57,3.0
INV100094,C00134,2024-10-14,2,5,78.52,2.5
INV100095,C00372,2024-07-28,4,12,169.24,3.0
INV100096,C00028,2024-10-04,6,22,274.25,3.6666666666666665
INV100097,C00307,2024-06-28,4,16,189.60999999999999,4.0
INV100098,C00266,2024-09-26,7,22,211.89999999999998,3.142857142857143
INV100099,C00156,2024-09-01,3,9,342.85,3.0
INV100100,C00079,2024-04-22,4,9,137.01999999999998,2.25
INV100101,C00067,2024-10-29,4,14,263.69,3.5
INV100102,C00446,2024-06-30,4,13,176.92,3.25
INV100103,C00401,2024-06-24,2,6,51.85,3.0
INV100104,C00464,2024-09-19,1,1,10.21,1.0
INV100105,C00162,2024-12-27,1,5,128.55,5.0
INV100106,C00446,2024-07-23,7,19,276.21000000000004,2.7142857142857144
INV100107,C00143,2024-12-15,9,28,521.4599999999999,3.111111111111111
INV100108,C00347,2024-10-08,3,13,263.32,4.333333333333333
INV100109,C00289,2024-05-06,9,30,525.77,3.3333333333333335
INV100110,C00074,2024-07-03,28,765,9500.62,27.321428571428573
INV100111,C00383,2024-09-08,14,37,507.71000000000004,2.642857142857143
INV100112,C00336,2024-04-02,2,8,73.74000000000001,4.0
INV100113,C00135,2024-09-05,5,12,223.7,2.4
INV100114,C00409,2024-06-30,2,4,17.380000000000003,2.0
INV100115,C00196,2024-08-26,2,6,62.66,3.0
INV100116,C00446,2024-06-06,7,23,268.31,3.2857142857142856
INV100117,C00289,2024-03-26,2,5,71.31,2.5
INV100118,C00475,2024-07-08,1,3,56.46,3.0
INV100119,C00147,2024-12-20,2,4,26.159999999999997,2.0
INV100120,C00220,2024-05-12,12,42,685.05,3.5
INV100121,C00222,2024-07-22,2,5,59.69,2.5
INV100122,C00038,2024-08-12,4,9,145.59,2.25
INV100123,C00123,2024-08-29,13,34,481.95,2.6153846153846154
INV100124,C00397,2024-09-01,2,8,144.52,4.0
INV100125,C00469,2024-09-29,1,2,10.2,2.0
INV100126,C00214,2024-06-20,1,3,35.73,3.0
INV100127,C00276,2024-08-30,5,16,149.1,3.2
INV100128,C00334,2024-06-05,2,7,44.900000000000006,3.5
INV100129,C00307,2024-07-16,1,1,7.38,1.0
INV100130,C00347,2024-11-07,3,9,113.06,3.0
INV100131,C00206,2024-09-11,7,29,495.96000000000004,4.142857142857143
INV100132,C00152,2024-07-03,9,28,257.19,3.111111111111111
INV100133,C00463,2024-04-25,4,9,162.64,2.25
INV100134,C00251,2024-07-14,3,8,159.53,2.6666666666666665
INV100135,C00478,2024-06-06,7,15,166.28,2.142857142857143
INV100136,C00071,2024-06-18,2,9,70.77000000000001,4.5
INV100137,C00040,2024-09-09,1,3,75.96,3.0
INV100138,C00493,2024-06-25,1,1,9.29,1.0
INV100139,C00227,2024-08-04,8,27,373.17,3.375
INV100140,C00041,2024-05-19,12,35,374.64,2.9166666666666665
INV100141,C00369,2024-04-04,5,20,380.2,4.0
INV100142,C00091,2024-07-13,1,3,55.95,3.0
INV100143,C00333,2024-07-02,7,19,320.19,2.7142857142857144
INV100144,C00158,2024-05-03,4,12,100.08,3.0
INV100145,C00420,2024-03-12,4,15,261.46000000000004,3.75
INV100146,C00459,2024-12-03,1,3,32.7,3.0
INV100147,C00433,2024-04-06,1,2,12.76,2.0
INV100148,C00237,2024-08-02,3,3,47.3,1.0
INV100149,C00226,2024-04-28,4,13,201.43,3.25
INV100150,C00145,2024-04-05,5,13,128.04,2.6
INV100151,C00037,2024-02-09,7,20,221.23,2.857142857142857
INV100152,C00100,2024-03-07,4,9,186.52,2.25
INV100153,C00074,2024-04-01,3,5,40.69,1.6666666666666667
INV100154,C00194,2024-12-08,5,13,100.53,2.6
INV100155,C00033,2024-11-11,6,17,193.93,2.8333333333333335
INV100156,C00434,2024-04-07,3,13,325.78999999999996,4.333333333333333
INV100157,C00038,2024-06-21,9,26,348.51,2.888888888888889
INV100158,C00001,2024-09-29,9,24,298.68,2.6666666666666665
INV100159,C00014,2024-07-15,9,33,533.73,3.6666666666666665
INV100160,C00487,2024-09-28,4,10,104.16,2.5
INV100161,C00097,2024-06-08,4,9,147.44,2.25
INV100162,C00334,2024-01-25,6,17,277.57,2.8333333333333335
INV100163,C00024,2024-01-13,1,1,15.78,1.0
INV100164,C00259,2024-10-23,3,9,171.48999999999998,3.0
INV100165,C00456,2024-05-17,8,21,161.32999999999998,2.625
INV100166,C00334,2024-11-21,1,4,23.68,4.0
INV100167,C00211,2024-03-03,1,2,30.74,2.0
INV100168,C00495,2024-09-15,1,5,33.0,5.0
INV100169,C00336,2024-02-26,5,20,213.71999999999997,4.0
INV100170,C00498,2024-08-01,5,17,220.83999999999997,3.4
INV100171,C00386,2024-08-01,2,7,88.69,3.5
INV100172,C00147,2024-05-05,14,41,716.64,2.9285714285714284
INV100173,C00033,2024-04-25,3,8,88.91,2.6666666666666665
INV100174,C00411,2024-08-14,5,17,443.17,3.4
INV100175,C00348,2024-07-08,12,44,701.38,3.6666666666666665
INV100176,C00049,2024-04-01,2,6,120.53999999999999,3.0
INV100177,C00261,2024-09-12,3,5,43.93,1.6666666666666667
INV100178,C00160,2024-06-08,1,3,24.0,3.0
INV100179,C00001,2024-08-22,7,21,259.22,3.0
INV100180,C00351,2024-04-10,4,12,299.21,3.0
INV100181,C00069,2024-10-20,5,18,387.32,3.6
INV100182,C00343,2024-08-31,5,14,195.13,2.8
INV100183,C00316,2024-03-15,2,7,107.99,3.5
INV100184,C00316,2024-10-17,4,10,77.94,2.5
INV100185,C00062,2024-03-16,1,1,14.79,1.0
INV100186,C00224,2024-06-20,10,28,557.83,2.8
INV100187,C00198,2024-08-12,2,8,92.68,4.0
INV100188,C00151,2024-06-12,4,10,94.05,2.5
INV100189,C00241,2024-11-21,2,8,82.0,4.0
INV100190,C00377,2024-04-19,7,23,481.42,3.2857142857142856
INV100191,C00090,2024-09-20,4,10,109.63,2.5
INV100192,C00134,2024-12-12,8,24,211.82000000000002,3.0
INV100193,C00133,2024-10-27,3,10,110.0,3.3333333333333335
INV100194,C00280,2024-04-13,4,15,120.13,3.75
INV100195,C00112,2024-07-18,4,16,310.31,4.0
INV100196,C00365,2024-02-01,2,7,197.91000000000003,3.5
INV100197,C00159,2024-06-17,2,8,38.27,4.0
INV100198,C00237,2024-02-14,4,16,187.97,4.0
INV100199,C00435,2024-03-14,8,19,230.88,2.375
INV100200,C00245,2024-04-12,2,9,105.45,4.5
INV100201,C00156,2024-10-31,28,799,10089.76,28.535714285714285
INV100202,C00313,2024-10-20,1,5,28.75,5.0
INV100203,C00022,2024-05-22,4,11,227.33,2.75
INV100204,C00114,2024-06-26,2,3,17.24,1.5
INV100205,C00278,2024-05-09,1,2,38.8,2.0
INV100206,C00321,2024-09-25,4,15,333.31,3.75
INV100207,C00295,2024-11-03,9,31,536.34,3.4444444444444446
INV100208,C00418,2024-02-25,8,22,276.16,2.75
INV100209,C00106,2024-07-04,3,9,151.6,3.0
INV100210,C00320,2024-07-03,8,25,257.19,3.125
INV100211,C00207,2024-11-17,1,4,68.4,4.0
INV100212,C00322,2024-08-25,1,3,69.06,3.0
INV100213,C00268,2024-05-16,1,1,10.79,1.0
INV100214,C00269,2024-05-19,4,12,268.21,3.0
INV100215,C00229,2024-06-19,1,5,36.6,5.0
INV100216,C00120,2024-10-22,2,2,13.18,1.0
INV100217,C00047,2024-09-16,4,12,172.13,3.0
INV100218,C00366,2024-03-19,2,7,53.78,3.5
INV100219,C00230,2024-08-16,2,8,67.81,4.0
INV100220,C00444,2024-03-09,4,12,226.39000000000001,3.0
INV100221,C00444,2024-03-02,5,18,189.69,3.6
INV100222,C00312,2024-01-19,4,10,130.35999999999999,2.5
INV100223,C00326,2024-11-14,4,10,123.65,2.5
INV100224,C00040,2024-08-22,3,8,138.16,2.6666666666666665
INV100225,C00078,2024-02-18,4,13,186.37,3.25
INV100226,C00342,2024-10-13,12,36,278.05,3.0
INV100227,C00125,2024-07-11,4,12,171.16,3.0
INV100228,C00196,2024-02-08,4,9,65.28,2.25
INV100229,C00377,2024-06-04,4,10,133.82,2.5
INV100230,C00194,2024-10-17,33,901,8726.35,27.303030303030305
INV100231,C00000,2024-07-25,3,11,82.75,3.6666666666666665
INV100232,C00435,2024-05-26,1,3,17.25,3.0
INV100233,C00052,2024-05-06,7,19,207.88,2.7142857142857144
INV100234,C00123,2024-05-06,4,12,149.36,3.0
INV100235,C00147,2024-10-19,9,27,344.73,3.0
INV100236,C00466,2024-10-24,2,8,106.18,4.0
INV100237,C00071,2024-12-13,12,35,609.8,2.9166666666666665
INV100238,C00237,2024-08-17,2,6,62.82,3.0
INV100239,C00365,2024-08-23,10,29,472.84000000000003,2.9
INV100240,C00052,2024-10-09,12,34,368.17,2.8333333333333335
INV100241,C00061,2024-04-21,6,20,293.52,3.3333333333333335
INV100242,C00211,2024-09-10,4,10,136.93,2.5
INV100243,C00432,2024-03-19,13,50,654.51,3.8461538461538463
INV100244,C00457,2024-09-11,7,21,267.4,3.0
INV100245,C00479,2024-08-06,4,9,96.9,2.25
INV100246,C00234,2024-12-24,7,16,182.35,2.2857142857142856
INV100247,C00446,2024-07-16,4,12,127.63,3.0
INV100248,C00206,2024-09-02,4,14,114.69,3.5
INV100249,C00405,2024-05-14,5,18,308.4,3.6
INV100250,C00165,2024-07-18,1,2,14.04,2.0
INV100251,C00165,2024-04-30,1,5,25.6,5.0
INV100252,C00498,2024-03-09,5,16,237.39,3.2
INV100253,C00367,2024-07-23,1,1,15.37,1.0
INV100254,C00239,2024-06-26,4,15,201.29999999999998,3.75
INV100255,C00479,2024-09-19,7,22,250.17000000000002,3.142857142857143
INV100256,C00065,2024-08-18,6,24,411.74,4.0
INV100257,C00022,2024-09-04,2,8,139.39999999999998,4.0
INV100258,C00425,2024-10-03,1,2,33.62,2.0
INV100259,C00026,2024-02-29,2,9,108.69,4.5
INV100260,C00035,2024-05-09,4,12,199.92000000000002,3.0
INV100261,C00022,2024-05-01,2,4,55.23,2.0
INV100262,C00419,2024-04-16,2,9,94.92999999999999,4.5
INV100263,C00458,2024-06-03,3,5,93.25999999999999,1.6666666666666667
INV100264,C00336,2024-06-04,1,4,29.28,4.0
INV100265,C00056,2024-11-10,9,30,452.94,3.3333333333333335
INV100266,C00227,2024-09-12,2,4,53.64,2.0
INV100267,C00431,2024-10-03,12,36,460.42,3.0
INV100268,C00095,2024-12-25,9,21,255.44,2.3333333333333335
INV100269,C00430,2024-09-21,2,8,157.15,4.0
INV100270,C00388,2024-03-20,1,1,19.79,1.0
INV100271,C00168,2024-03-12,1,2,18.74,2.0
INV100272,C00375,2024-06-19,2,7,78.45,3.5
INV100273,C00316,2024-05-11,4,6,112.97,1.5
INV100274,C00353,2024-06-24,4,14,130.92,3.5
INV100275,C00493,2024-05-07,1,3,17.76,3.0
INV100276,C00410,2024-07-04,5,17,219.93,3.4
INV100277,C00493,2024-05-27,2,2,21.96,1.0
INV100278,C00019,2024-07-31,4,11,210.2,2.75
INV100279,C00244,2024-06-02,2,8,62.72,4.0
INV100280,C00425,2024-10-11,2,9,199.82,4.5
INV100281,C00318,2024-08-23,4,9,82.5,2.25
INV100282,C00227,2024-12-17,1,5,50.45,5.0
INV100283,C00111,2024-10-12,4,14,162.03,3.5
INV100284,C00282,2024-03-25,5,14,65.55,2.8
INV100285,C00041,2024-03-07,5,19,285.87,3.8
INV100286,C00190,2024-12-27,4,17,231.53,4.25
INV100287,C00214,2024-01-27,14,45,419.64,3.2142857142857144
INV100288,C00279,2024-03-25,4,15,98.87,3.75
INV100289,C00445,2024-04-01,2,6,73.75999999999999,3.0
INV100290,C00387,2024-12-01,2,4,56.92,2.0
INV100291,C00374,2024-09-20,1,2,14.94,2.0
INV100292,C00217,2024-08-19,3,9,96.03,3.0
INV100293,C00014,2024-02-17,3,7,79.45,2.3333333333333335
INV100294,C00153,2024-12-11,5,17,205.91,3.4
INV100295,C00259,2024-05-22,3,8,124.95,2.6666666666666665
INV100296,C00495,2024-08-01,3,10,122.39,3.3333333333333335
INV100297,C00125,2024-02-11,5,14,195.77,2.8
INV100298,C00445,2024-04-19,3,4,51.67,1.3333333333333333
INV100299,C00379,2024-07-30,2,3,34.49,1.5
INV100300,C00499,2024-08-16,4,12,168.21,3.0
INV100301,C00450,2024-08-22,4,11,165.9,2.75
INV100302,C00071,2024-09-16,4,15,108.75999999999999,3.75
INV100303,C00271,2024-10-09,16,43,619.74,2.6875
INV100304,C00111,2024-06-05,4,12,126.53,3.0
INV100305,C00001,2024-06-08,9,29,404.32,3.2222222222222223
INV100306,C00047,2024-08-05,12,34,396.6,2.8333333333333335
INV100307,C00218,2024-04-28,1,3,25.62,3.0
INV100308,C00338,2024-10-26,5,12,179.96,2.4
INV100309,C00372,2024-03-27,2,2,37.11,1.0
INV100310,C00434,2024-05-17,5,8,53.02,1.6
INV100311,C00293,2024-05-25,2,6,61.260000000000005,3.0
INV100312,C00164,2024-11-10,1,4,56.64,4.0
INV100313,C00267,2024-02-21,7,26,297.96000000000004,3.7142857142857144
INV100314,C00238,2024-07-12,4,8,99.01,2.0
INV100315,C00028,2024-05-08,8,24,291.02,3.0
INV100316,C00395,2024-04-13,1,2,12.36,2.0
INV100317,C00049,2024-07-18,5,18,334.49,3.6
INV100318,C00248,2024-05-21,8,16,226.0,2.0
INV100319,C00106,2024-09-16,3,10,113.56,3.3333333333333335
INV100320,C00286,2024-05-08,1,5,222.05,5.0
INV100321,C00348,2024-11-22,12,40,536.78,3.3333333333333335
INV100322,C00383,2024-12-08,15,49,662.21,3.2666666666666666
INV100323,C00248,2024-08-01,6,15,215.07999999999998,2.5
INV100324,C00291,2024-09-03,4,11,90.07000000000001,2.75
INV100325,C00415,2024-06-19,6,19,236.56,3.1666666666666665
INV100326,C00425,2024-07-08,9,20,241.26999999999998,2.2222222222222223
INV100327,C00487,2024-06-24,4,11,119.53999999999999,2.75
INV100328,C00048,2024-10-18,1,2,14.3,2.0
INV100329,C00478,2024-07-30,8,16,282.39,2.0
INV100330,C00410,2024-09-23,2,6,140.72,3.0
INV100331,C00230,2024-09-10,7,18,193.97,2.5714285714285716
INV100332,C00116,2024-06-08,1,1,7.79,1.0
INV100333,C00329,2024-01-20,4,11,190.38,2.75
INV100334,C00144,2024-06-24,4,9,158.92000000000002,2.25
INV100335,C00365,2024-04-18,7,25,300.52,3.5714285714285716
INV100336,C00477,2024-11-14,14,34,514.79,2.4285714285714284
INV100337,C00337,2024-08-26,7,17,282.95,2.4285714285714284
INV100338,C00262,2024-09-14,1,5,31.65,5.0
INV100339,C00134,2024-06-09,4,10,119.61,2.5
INV100340,C00098,2024-05-02,9,29,368.8,3.2222222222222223
INV100341,C00023,2024-03-16,7,23,184.14,3.2857142857142856
INV100342,C00365,2024-07-18,4,16,215.47,4.0
INV100343,C00291,2024-09-11,5,16,298.09,3.2
INV100344,C00227,2024-06-22,4,10,119.16,2.5
INV100345,C00162,2024-05-22,6,24,474.63,4.0
INV100346,C00063,2024-05-05,1,4,41.44,4.0
INV100347,C00167,2024-10-30,5,16,279.73,3.2
INV100348,C00453,2024-06-18,7,21,373.87,3.0
INV100349,C00404,2024-06-22,1,1,15.71,1.0
INV100350,C00381,2024-02-11,4,13,150.84,3.25
INV100351,C00298,2024-06-17,5,12,109.69999999999999,2.4
INV100352,C00496,2024-09-07,3,5,63.6,1.6666666666666667
INV100353,C00462,2024-05-29,1,4,72.16,4.0
INV100354,C00330,2024-05-29,4,12,331.68,3.0
INV100355,C00001,2024-05-13,8,20,438.28000000000003,2.5
INV100356,C00404,2024-08-25,8,31,412.01,3.875
INV100357,C00295,2024-11-22,13,37,451.08,2.8461538461538463
INV100358,C00130,2024-04-13,3,10,66.83,3.3333333333333335
INV100359,C00147,2024-09-14,12,37,587.91,3.0833333333333335
INV100360,C00127,2024-01-02,3,15,187.0,5.0
INV100361,C00410,2024-10-19,9,29,487.46999999999997,3.2222222222222223
INV100362,C00382,2024-11-29,4,14,301.46000000000004,3.5
INV100363,C00001,2024-10-29,8,23,553.4,2.875
INV100364,C00396,2024-11-04,8,21,302.42,2.625
INV100365,C00460,2024-04-02,4,11,105.88999999999999,2.75
INV100366,C00295,2024-04-09,4,11,111.71000000000001,2.75
INV100367,C00342,2024-10-30,2,7,304.77000000000004,3.5
INV100368,C00391,2024-03-01,4,13,149.33,3.25
INV100369,C00119,2024-06-16,1,3,15.54,3.0
INV100370,C00229,2024-09-29,7,21,329.96000000000004,3.0
INV100371,C00125,2024-07-11,4,14,199.65000000000003,3.5
INV100372,C00098,2024-09-12,4,17,144.06,4.25
INV100373,C00366,2024-04-30,4,10,110.58000000000001,2.5
INV100374,C00351,2024-04-11,3,10,109.8,3.3333333333333335
INV100375,C00227,2024-05-07,7,19,336.56,2.7142857142857144
INV100376,C00382,2024-04-14,4,13,199.33,3.25
INV100377,C00294,2024-10-25,4,10,94.02000000000001,2.5
INV100378,C00091,2024-08-24,2,2,26.450000000000003,1.0
INV100379,C00396,2024-08-20,4,13,190.96,3.25
INV100380,C00271,2024-09-07,4,15,199.2,3.75
INV100381,C00477,2024-03-05,7,23,506.77,3.2857142857142856
INV100382,C00291,2024-08-09,1,2,37.3,2.0
INV100383,C00145,2024-07-29,3,10,120.58,3.3333333333333335
INV100384,C00352,2024-07-10,4,13,134.43,3.25
INV100385,C00125,2024-08-12,5,12,149.64,2.4
INV100386,C00397,2024-05-18,13,41,785.05,3.1538461538461537
INV100387,C00479,2024-03-01,7,25,304.71999999999997,3.5714285714285716
INV100388,C00301,2024-01-21,1,5,50.45,5.0
INV100389,C00214,2024-04-07,9,26,363.63,2.888888888888889
INV100390,C00446,2024-05-30,4,12,234.21,3.0
INV100391,C00226,2024-05-30,6,12,159.89,2.0
INV100392,C00031,2024-08-26,1,3,45.78,3.0
INV100393,C00468,2024-11-21,1,2,40.44,2.0
INV100394,C00427,2024-05-02,5,17,200.88,3.4
INV100395,C00471,2024-04-19,9,31,387.62,3.4444444444444446
INV100396,C00418,2024-02-11,7,27,317.84000000000003,3.857142857142857
INV100397,C00198,2024-09-25,4,12,241.05,3.0
INV100398,C00199,2024-06-05,11,37,480.01,3.3636363636363638
INV100399,C00214,2024-08-04,4,13,118.93,3.25
INV100400,C00463,2024-06-27,4,13,221.07999999999998,3.25
INV100401,C00343,2024-01-21,5,15,142.76999999999998,3.0
INV100402,C00352,2024-11-18,3,10,170.61,3.3333333333333335
INV100403,C00172,2024-01-20,2,9,72.25,4.5
INV100404,C00158,2024-10-18,1,3,58.56,3.0
INV100405,C00461,2024-07-27,1,4,69.2,4.0
INV100406,C00207,2024-03-31,1,4,80.88,4.0
INV100407,C00056,2024-09-19,1,2,55.32,2.0
INV100408,C00101,2024-08-28,1,3,21.3,3.0
INV100409,C00030,2024-09-16,3,6,62.41,2.0
INV100410,C00350,2024-03-22,4,4,66.49,1.0
INV100411,C00456,2024-05-13,11,32,553.23,2.909090909090909
INV100412,C00373,2024-05-06,3,8,58.25,2.6666666666666665
INV100413,C00214,2024-08-16,2,7,121.53999999999999,3.5
INV100414,C00387,2024-04-28,14,39,378.02,2.7857142857142856
INV100415,C00014,2024-07-10,5,13,118.93,2.6
INV100416,C00052,2024-03-10,4,13,174.77,3.25
INV100417,C00336,2024-07-24,5,12,95.92,2.4
INV100418,C00226,2024-07-29,8,18,238.02,2.25
INV100419,C00010,2024-03-08,2,8,105.30000000000001,4.0
INV100420,C00143,2024-11-21,7,26,413.76,3.7142857142857144
INV100421,C00129,2024-10-22,4,7,80.44,1.75
INV100422,C00484,2024-11-01,5,17,204.78,3.4
INV100423,C00121,2024-06-07,6,16,184.16,2.6666666666666665
INV100424,C00179,2024-09-29,1,5,102.7,5.0
INV100425,C00228,2024-11-05,3,11,125.96,3.6666666666666665
INV100426,C00111,2024-06-06,1,1,11.3,1.0
INV100427,C00327,2024-11-24,9,24,423.45,2.6666666666666665
INV100428,C00271,2024-05-31,4,12,184.14,3.0
INV100429,C00487,2024-05-17,7,20,334.05,2.857142857142857
INV100430,C00172,2024-05-14,6,15,213.65,2.5
INV100431,C00418,2024-08-10,4,12,154.96,3.0
INV100432,C00239,2024-08-07,2,5,65.83,2.5
INV100433,C00001,2024-09-07,1,5,116.9,5.0
INV100434,C00247,2024-06-27,1,2,17.64,2.0
INV100435,C00270,2024-07-05,4,14,144.61,3.5
INV100436,C00434,2024-03-09,3,5,40.809999999999995,1.6666666666666667
INV100437,C00303,2024-02-13,4,12,129.67000000000002,3.0
INV100438,C00090,2024-10-19,3,9,161.86,3.0
INV100439,C00162,2024-02-11,7,20,233.8,2.857142857142857
INV100440,C00446,2024-03-10,14,31,431.28,2.2142857142857144
INV100441,C00300,2024-02-12,1,4,30.64,4.0
INV100442,C00446,2024-12-19,7,16,190.86,2.2857142857142856
INV100443,C00149,2024-06-20,2,5,92.72,2.5
INV100444,C00023,2024-04-14,9,33,316.12,3.6666666666666665
INV100445,C00116,2024-01-29,3,11,122.72,3.6666666666666665
INV100446,C00003,2024-06-04,4,17,196.85,4.25
INV100447,C00220,2024-06-28,4,8,122.5,2.0
INV100448,C00163,2024-05-08,1,4,34.68,4.0
INV100449,C00120,2024-10-26,4,17,325.71,4.25
INV100450,C00147,2024-08-31,15,43,912.72,2.8666666666666667
INV100451,C00019,2024-09-27,8,23,308.39,2.875
INV100452,C00199,2024-11-23,5,11,103.05000000000001,2.2
INV100453,C00203,2024-09-04,6,13,116.24000000000001,2.1666666666666665
INV100454,C00347,2024-02-18,4,11,109.44,2.75
INV100455,C00103,2024-06-22,5,13,113.1,2.6
INV100456,C00153,2024-11-03,5,13,109.97,2.6
INV100457,C00286,2024-01-27,2,2,80.53,1.0
INV100458,C00211,2024-12-01,2,6,85.18,3.0
INV100459,C00347,2024-03-22,1,2,21.8,2.0
INV100460,C00172,2024-04-03,1,2,31.56,2.0
INV100461,C00202,2024-07-09,3,7,71.17999999999999,2.3333333333333335
INV100462,C00014,2024-12-08,2,5,78.57000000000001,2.5
INV100463,C00489,2024-10-29,5,12,107.42,2.4
INV100464,C00078,2024-12-30,6,25,386.7,4.166666666666667
INV100465,C00078,2024-01-03,1,5,69.25,5.0
